5783.722
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
125, 0.00, 262,       0,      0, 0.87, 0.07, 0.03, 0.02, 0.01
126, 0.00, 273,       0,      0, 0.91, 0.05, 0.02, 0.01, 0.01
127, 0.00, 290,       0,      0, 0.97, 0.02, 0.01, 0.00, 0.00
128, 0.00, 288,       0,      0, 0.96, 0.02, 0.01, 0.00, 0.00
129, 0.00, 287,       0,      0, 0.96, 0.03, 0.01, 0.00, 0.00
130, 0.00, 297,       0,      0, 0.98, 0.01, 0.00, 0.00, 0.00
131, 0.00, 295,       0,      0, 0.97, 0.02, 0.00, 0.00, 0.00
132, 0.02, 292,       0,      0, 0.97, 0.02, 0.01, 0.00, 0.00
133, 0.03, 289,       0,      0, 0.96, 0.03, 0.01, 0.00, 0.00
134, 0.03, 287,       0,      0, 0.95, 0.03, 0.01, 0.01, 0.00
135, 0.03, 285,       0,      0, 0.94, 0.03, 0.01, 0.01, 0.00
136, 0.03, 284,       0,      0, 0.94, 0.04, 0.01, 0.01, 0.00
137, 0.03, 283,       0,      0, 0.93, 0.04, 0.02, 0.01, 0.00
138, 0.04, 282,       0,      0, 0.92, 0.05, 0.02, 0.01, 0.01
139, 0.04, 281,       0,      2, 0.91, 0.05, 0.02, 0.01, 0.01
140, 0.05, 318,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
141, 0.06, 315,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
142, 0.07, 312,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
143, 0.08, 309,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
144, 0.09, 306,      40,      0, 0.99, 0.00, 0.00, 0.00, 0.00
145, 0.11, 305,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
146, 0.13, 304,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
147, 0.14, 304,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
148, 0.15, 302,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
149, 0.18, 301,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
150, 0.21, 300,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
151, 0.24, 299,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
152, 0.28, 298,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
153, 0.31, 296,      40,      0, 0.98, 0.02, 0.00, 0.00, 0.00
154, 0.35, 295,      40,      0, 0.97, 0.02, 0.01, 0.00, 0.00
155, 0.38, 294,      40,      0, 0.97, 0.02, 0.01, 0.00, 0.00
156, 0.42, 293,      40,      0, 0.96, 0.02, 0.01, 0.00, 0.00
157, 0.46, 292,      40,      0, 0.96, 0.03, 0.01, 0.01, 0.00
158, 0.51, 290,      40,      0, 0.95, 0.03, 0.01, 0.01, 0.00
159, 0.54, 289,      40,      0, 0.94, 0.04, 0.01, 0.01, 0.00
160, 0.60, 288,      40,      0, 0.93, 0.04, 0.01, 0.01, 0.00
161, 0.65, 287,      40,      0, 0.92, 0.04, 0.02, 0.01, 0.01
162, 0.69, 285,      40,      0, 0.91, 0.05, 0.02, 0.01, 0.01
163, 0.72, 284,      40,      0, 0.90, 0.05, 0.02, 0.02, 0.01
164, 0.76, 282,      40,      0, 0.89, 0.06, 0.03, 0.02, 0.01
165, 0.80, 281,      40,      0, 0.88, 0.06, 0.03, 0.02, 0.01
166, 0.85, 280,      40,      0, 0.87, 0.07, 0.03, 0.02, 0.01
167, 0.92, 279,      40,      0, 0.86, 0.07, 0.03, 0.03, 0.01
168, 0.98, 300,      40,      0, 0.97, 0.02, 0.01, 0.00, 0.00
169, 1.02, 298,      40,      0, 0.96, 0.03, 0.01, 0.00, 0.00
170, 1.10, 295,      40,      0, 0.94, 0.03, 0.01, 0.01, 0.00
171, 1.17, 293,      40,      0, 0.93, 0.04, 0.02, 0.01, 0.01
172, 1.25, 291,      40,      0, 0.91, 0.05, 0.02, 0.01, 0.01
173, 1.33, 288,      40,      0, 0.89, 0.06, 0.03, 0.02, 0.01
174, 1.40, 286,      40,      0, 0.87, 0.07, 0.03, 0.02, 0.01
175, 1.47, 284,      40,      0, 0.86, 0.07, 0.03, 0.03, 0.01
176, 1.55, 283,      40,      0, 0.84, 0.08, 0.04, 0.03, 0.02
177, 1.64, 288,      40,      0, 0.87, 0.07, 0.03, 0.02, 0.01
178, 1.70, 293,      40,      0, 0.90, 0.05, 0.02, 0.02, 0.01
179, 1.75, 291,      40,      0, 0.88, 0.06, 0.03, 0.02, 0.01
180, 1.82, 288,      40,      0, 0.86, 0.07, 0.03, 0.02, 0.01
181, 1.92, 287,      40,      0, 0.85, 0.07, 0.03, 0.03, 0.01
