5865.222
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
148, 0.00, 248,       0,      0, 0.69, 0.12, 0.07, 0.07, 0.04
149, 0.00, 269,       0,      0, 0.83, 0.08, 0.04, 0.03, 0.02
150, 0.00, 266,       0,      0, 0.81, 0.09, 0.04, 0.04, 0.02
151, 0.00, 265,       0,      0, 0.80, 0.09, 0.05, 0.04, 0.02
152, 0.00, 264,       0,      0, 0.79, 0.09, 0.05, 0.04, 0.02
153, 0.00, 263,       0,      0, 0.78, 0.10, 0.05, 0.04, 0.03
154, 0.00, 262,       0,      0, 0.77, 0.10, 0.05, 0.05, 0.03
155, 0.00, 262,       0,      0, 0.76, 0.10, 0.06, 0.05, 0.03
156, 0.00, 261,       0,      3, 0.75, 0.11, 0.06, 0.05, 0.03
157, 0.02, 297,      60,      0, 0.98, 0.01, 0.00, 0.00, 0.00
158, 0.03, 294,      60,      0, 0.98, 0.02, 0.00, 0.00, 0.00
159, 0.03, 299,      60,      0, 0.98, 0.01, 0.00, 0.00, 0.00
160, 0.03, 312,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
161, 0.03, 311,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
162, 0.03, 333,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
163, 0.03, 331,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
164, 0.04, 329,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
165, 0.04, 327,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
166, 0.05, 324,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
167, 0.06, 321,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
168, 0.06, 320,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
169, 0.07, 318,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
170, 0.08, 317,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
171, 0.09, 316,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
172, 0.10, 315,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
173, 0.11, 314,      60,      0, 0.99, 0.00, 0.00, 0.00, 0.00
174, 0.12, 313,      60,      0, 0.99, 0.00, 0.00, 0.00, 0.00
175, 0.12, 313,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
176, 0.14, 312,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
177, 0.15, 311,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
178, 0.17, 317,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
179, 0.18, 337,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
180, 0.20, 335,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
181, 0.22, 333,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
182, 0.24, 330,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
183, 0.27, 329,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
184, 0.30, 326,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
185, 0.32, 325,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
186, 0.35, 324,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
187, 0.38, 354,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
188, 0.40, 373,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
189, 0.44, 371,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
190, 0.49, 372,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
191, 0.54, 370,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
192, 0.60, 368,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
193, 0.65, 367,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
194, 0.71, 365,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
195, 0.76, 363,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
196, 0.80, 361,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
197, 0.85, 360,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
198, 0.89, 358,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
199, 0.92, 356,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
200, 0.96, 353,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
201, 1.01, 351,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
202, 1.08, 349,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
203, 1.22, 346,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
204, 1.35, 344,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
205, 1.42, 341,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
206, 1.50, 343,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
207, 1.60, 344,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
208, 1.66, 342,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
209, 1.71, 339,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
210, 1.79, 336,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
211, 1.82, 334,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
212, 1.87, 331,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
213, 1.95, 329,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
214, 2.03, 326,      60,      0, 0.99, 0.00, 0.00, 0.00, 0.00
215, 2.16, 323,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
216, 2.25, 321,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
217, 2.37, 318,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
218, 2.46, 315,      60,      0, 0.98, 0.01, 0.00, 0.00, 0.00
219, 2.58, 313,      60,      0, 0.98, 0.02, 0.00, 0.00, 0.00
220, 2.69, 311,      60,      1, 0.96, 0.02, 0.01, 0.00, 0.00
221, 2.76, 328,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
222, 2.84, 325,      80,      0, 0.99, 0.00, 0.00, 0.00, 0.00
223, 2.97, 321,      80,      0, 0.99, 0.01, 0.00, 0.00, 0.00
224, 3.10, 318,      80,      0, 0.99, 0.01, 0.00, 0.00, 0.00
225, 3.16, 315,      80,      0, 0.98, 0.01, 0.00, 0.00, 0.00
226, 3.24, 311,      80,      0, 0.97, 0.02, 0.01, 0.00, 0.00
227, 3.32, 308,      80,      0, 0.95, 0.03, 0.01, 0.01, 0.00
228, 3.40, 305,      80,      0, 0.92, 0.04, 0.02, 0.01, 0.01
229, 3.48, 300,      80,      0, 0.87, 0.07, 0.03, 0.02, 0.01
230, 3.57, 298,      80,      0, 0.84, 0.08, 0.04, 0.03, 0.02
231, 3.65, 295,      80,      0, 0.81, 0.09, 0.04, 0.04, 0.02
232, 3.84, 333,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
233, 4.03, 329,      80,      0, 0.99, 0.00, 0.00, 0.00, 0.00
234, 4.14, 325,      80,      0, 0.99, 0.01, 0.00, 0.00, 0.00
235, 4.22, 322,      80,      0, 0.99, 0.01, 0.00, 0.00, 0.00
236, 4.30, 317,      80,      0, 0.98, 0.01, 0.00, 0.00, 0.00
237, 4.39, 317,      80,      0, 0.98, 0.01, 0.00, 0.00, 0.00
238, 4.46, 334,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
239, 4.53, 330,      80,      0, 0.99, 0.00, 0.00, 0.00, 0.00
240, 4.58, 327,      80,      0, 0.99, 0.01, 0.00, 0.00, 0.00
241, 4.69, 323,      80,      0, 0.99, 0.01, 0.00, 0.00, 0.00
242, 4.77, 319,      80,      1, 0.98, 0.01, 0.00, 0.00, 0.00
243, 4.87, 337,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
244, 4.96, 335,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
245, 5.02, 332,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
246, 5.09, 328,     100,      0, 0.99, 0.00, 0.00, 0.00, 0.00
247, 5.15, 322,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
248, 5.20, 318,     100,      0, 0.98, 0.01, 0.00, 0.00, 0.00
249, 5.24, 313,     100,      0, 0.97, 0.02, 0.01, 0.00, 0.00
250, 5.26, 307,     100,      0, 0.92, 0.04, 0.02, 0.01, 0.01
251, 5.23, 302,     100,      0, 0.86, 0.07, 0.03, 0.02, 0.01
252, 5.19, 298,     100,      0, 0.81, 0.09, 0.05, 0.04, 0.02
253, 5.13, 292,     100,      0, 0.75, 0.11, 0.06, 0.05, 0.03
254, 5.07, 287,     100,      0, 0.70, 0.12, 0.07, 0.06, 0.04
255, 5.00, 282,     100,      0, 0.66, 0.13, 0.08, 0.08, 0.05
256, 4.94, 278,     100,      0, 0.61, 0.14, 0.09, 0.09, 0.06
257, 4.87, 272,     100,      3, 0.57, 0.16, 0.11, 0.10, 0.07
258, 4.80, 314,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
259, 4.74, 309,     160,      0, 0.98, 0.01, 0.00, 0.00, 0.00
260, 4.69, 304,     160,      0, 0.95, 0.03, 0.01, 0.01, 0.00
261, 4.63, 298,     160,      0, 0.90, 0.06, 0.02, 0.02, 0.01
262, 4.54, 293,     160,      0, 0.83, 0.08, 0.04, 0.03, 0.02
263, 4.45, 292,     160,      0, 0.82, 0.08, 0.04, 0.03, 0.02
264, 4.36, 287,     160,      0, 0.77, 0.10, 0.05, 0.05, 0.03
265, 4.32, 281,     160,      0, 0.72, 0.12, 0.07, 0.06, 0.04
266, 4.26, 278,     160,      3, 0.69, 0.12, 0.07, 0.07, 0.04
267, 4.21, 309,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
268, 4.16, 305,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
269, 4.11, 313,     220,      0, 0.99, 0.00, 0.00, 0.00, 0.00
270, 4.08, 309,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
271, 4.05, 303,     220,      0, 0.98, 0.01, 0.00, 0.00, 0.00
272, 4.02, 298,     220,      0, 0.96, 0.03, 0.01, 0.00, 0.00
273, 3.98, 303,     220,      0, 0.98, 0.01, 0.00, 0.00, 0.00
274, 3.91, 298,     220,      0, 0.95, 0.03, 0.01, 0.01, 0.00
275, 3.86, 292,     220,      0, 0.90, 0.05, 0.02, 0.02, 0.01
276, 3.80, 286,     220,      0, 0.83, 0.08, 0.04, 0.03, 0.02
277, 3.74, 281,     220,      0, 0.78, 0.10, 0.05, 0.04, 0.03
278, 3.66, 276,     220,      0, 0.75, 0.11, 0.06, 0.05, 0.03
279, 3.59, 270,     220,      0, 0.70, 0.12, 0.07, 0.07, 0.04
280, 3.52, 264,     220,      3, 0.65, 0.14, 0.08, 0.08, 0.05
281, 3.48, 300,     280,      0, 0.99, 0.01, 0.00, 0.00, 0.00
282, 3.40, 314,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
283, 3.31, 333,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
284, 3.21, 338,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
285, 3.09, 332,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
286, 2.95, 341,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
287, 2.81, 336,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
288, 2.69, 339,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
289, 2.54, 334,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
290, 2.42, 328,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
291, 2.29, 323,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
292, 2.16, 320,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
293, 2.03, 315,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
294, 1.90, 311,     280,      0, 0.99, 0.00, 0.00, 0.00, 0.00
295, 1.78, 307,     280,      0, 0.99, 0.01, 0.00, 0.00, 0.00
296, 1.62, 310,     280,      0, 0.99, 0.01, 0.00, 0.00, 0.00
297, 1.45, 306,     280,      0, 0.99, 0.01, 0.00, 0.00, 0.00
298, 1.32, 302,     280,      0, 0.99, 0.01, 0.00, 0.00, 0.00
299, 1.21, 298,     280,      0, 0.98, 0.02, 0.00, 0.00, 0.00
300, 1.11, 293,     280,      0, 0.96, 0.03, 0.01, 0.01, 0.00
301, 1.01, 291,     280,      0, 0.94, 0.04, 0.01, 0.01, 0.00
302, 0.90, 285,     280,      0, 0.89, 0.06, 0.03, 0.02, 0.01
303, 0.82, 282,     280,      0, 0.86, 0.07, 0.03, 0.03, 0.01
304, 0.73, 279,     280,      0, 0.83, 0.08, 0.04, 0.03, 0.02
305, 0.63, 276,     280,      0, 0.81, 0.09, 0.04, 0.04, 0.02
306, 0.53, 273,     280,      0, 0.79, 0.09, 0.05, 0.04, 0.02
307, 0.47, 271,     280,      3, 0.78, 0.10, 0.05, 0.04, 0.03
308, 0.41, 319,     340,      0, 1.00, 0.00, 0.00, 0.00, 0.00
309, 0.35, 315,     340,      0, 1.00, 0.00, 0.00, 0.00, 0.00
310, 0.29, 313,     340,      0, 1.00, 0.00, 0.00, 0.00, 0.00
311, 0.23, 309,     340,      0, 1.00, 0.00, 0.00, 0.00, 0.00
312, 0.17, 306,     340,      0, 0.99, 0.00, 0.00, 0.00, 0.00
313, 0.11, 303,     340,      0, 0.99, 0.01, 0.00, 0.00, 0.00
314, 0.08, 301,     340,      0, 0.99, 0.01, 0.00, 0.00, 0.00
315, 0.06, 300,     340,      0, 0.99, 0.01, 0.00, 0.00, 0.00
316, 0.04, 298,     340,      0, 0.99, 0.01, 0.00, 0.00, 0.00
317, 0.02, 297,     340,      0, 0.99, 0.01, 0.00, 0.00, 0.00
318, 0.00, 296,     340,      1, 0.99, 0.01, 0.00, 0.00, 0.00
