6415.995
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
173, 0.00, 263,       0,      0, 0.70, 0.12, 0.07, 0.06, 0.04
174, 0.00, 276,       0,      0, 0.78, 0.10, 0.05, 0.04, 0.03
175, 0.00, 274,       0,      0, 0.77, 0.10, 0.06, 0.05, 0.03
176, 0.00, 271,       0,      0, 0.75, 0.11, 0.06, 0.05, 0.03
177, 0.00, 270,       0,      0, 0.74, 0.11, 0.06, 0.06, 0.03
178, 0.00, 269,       0,      0, 0.72, 0.12, 0.07, 0.06, 0.04
179, 0.00, 267,       0,      1, 0.71, 0.12, 0.07, 0.06, 0.04
180, 0.00, 286,      20,      0, 0.85, 0.08, 0.04, 0.03, 0.02
181, 0.00, 302,      20,      0, 0.94, 0.03, 0.01, 0.01, 0.00
182, 0.00, 299,      20,      0, 0.92, 0.04, 0.02, 0.01, 0.01
183, 0.00, 297,      20,      0, 0.90, 0.05, 0.02, 0.01, 0.01
184, 0.02, 295,      20,      0, 0.89, 0.06, 0.03, 0.02, 0.01
185, 0.03, 292,      20,      1, 0.87, 0.07, 0.03, 0.02, 0.01
186, 0.03, 309,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
187, 0.03, 307,      40,      0, 0.98, 0.02, 0.00, 0.00, 0.00
188, 0.03, 304,      40,      0, 0.96, 0.02, 0.01, 0.00, 0.00
189, 0.03, 302,      40,      0, 0.95, 0.03, 0.01, 0.01, 0.00
190, 0.03, 300,      40,      0, 0.94, 0.04, 0.01, 0.01, 0.00
191, 0.04, 299,      40,      0, 0.92, 0.04, 0.02, 0.01, 0.01
192, 0.04, 298,      40,      0, 0.91, 0.05, 0.02, 0.01, 0.01
193, 0.04, 297,      40,      0, 0.90, 0.05, 0.02, 0.02, 0.01
194, 0.05, 296,      40,      0, 0.89, 0.06, 0.02, 0.02, 0.01
195, 0.05, 294,      40,      0, 0.88, 0.06, 0.03, 0.02, 0.01
196, 0.06, 293,      40,      0, 0.87, 0.07, 0.03, 0.02, 0.01
197, 0.07, 292,      40,      1, 0.86, 0.07, 0.03, 0.02, 0.01
198, 0.08, 310,      60,      0, 0.98, 0.01, 0.00, 0.00, 0.00
199, 0.10, 307,      60,      4, 0.98, 0.02, 0.00, 0.00, 0.00
200, 0.11, 334,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
201, 0.12, 332,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
202, 0.13, 331,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
203, 0.15, 358,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
204, 0.16, 357,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
205, 0.18, 354,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
206, 0.20, 352,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
207, 0.23, 349,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
208, 0.27, 346,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
209, 0.31, 344,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
210, 0.34, 342,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
211, 0.39, 341,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
212, 0.42, 339,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
213, 0.47, 342,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
214, 0.51, 341,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
215, 0.60, 338,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
216, 0.69, 336,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
217, 0.79, 335,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
218, 0.86, 333,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
219, 0.91, 332,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
220, 0.96, 330,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
221, 1.01, 328,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
222, 1.10, 326,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
223, 1.18, 324,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
224, 1.36, 322,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
225, 1.50, 336,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
226, 1.60, 334,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
227, 1.72, 331,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
228, 1.85, 328,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
229, 2.00, 325,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
230, 2.11, 332,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
231, 2.27, 328,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
232, 2.46, 325,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
233, 2.62, 323,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
234, 2.73, 345,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
235, 2.83, 342,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
236, 2.92, 338,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
237, 3.03, 334,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
238, 3.20, 330,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
239, 3.38, 327,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
240, 3.54, 325,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
241, 3.63, 322,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
242, 3.73, 319,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
243, 3.82, 317,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
244, 3.88, 317,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
245, 3.92, 314,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
246, 3.99, 311,     140,      0, 0.98, 0.01, 0.00, 0.00, 0.00
247, 4.07, 308,     140,      0, 0.97, 0.02, 0.00, 0.00, 0.00
248, 4.26, 305,     140,      0, 0.96, 0.02, 0.01, 0.00, 0.00
249, 4.44, 301,     140,      0, 0.92, 0.04, 0.02, 0.01, 0.01
250, 4.59, 297,     140,      0, 0.87, 0.07, 0.03, 0.02, 0.01
251, 4.67, 292,     140,      0, 0.81, 0.09, 0.04, 0.04, 0.02
