5508.674
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
122, 0.00, 181,       0,      1, 0.41, 0.19, 0.15, 0.14, 0.11
123, 0.00, 204,      20,      4, 0.50, 0.17, 0.12, 0.12, 0.09
124, 0.00, 230,     100,      0, 0.84, 0.08, 0.04, 0.03, 0.02
125, 0.00, 227,     100,      0, 0.83, 0.08, 0.04, 0.03, 0.02
126, 0.00, 225,     100,      0, 0.81, 0.09, 0.04, 0.04, 0.02
127, 0.00, 224,     100,      0, 0.81, 0.09, 0.05, 0.04, 0.02
128, 0.02, 221,     100,      0, 0.79, 0.10, 0.05, 0.04, 0.02
129, 0.03, 220,     100,      1, 0.77, 0.10, 0.05, 0.05, 0.03
130, 0.03, 236,     120,      0, 0.88, 0.06, 0.03, 0.02, 0.01
131, 0.03, 234,     120,      0, 0.87, 0.07, 0.03, 0.02, 0.01
132, 0.03, 237,     120,      0, 0.88, 0.06, 0.03, 0.02, 0.01
133, 0.03, 235,     120,      0, 0.87, 0.07, 0.03, 0.02, 0.01
134, 0.04, 232,     120,      0, 0.85, 0.07, 0.03, 0.03, 0.01
135, 0.05, 228,     120,      0, 0.83, 0.08, 0.04, 0.03, 0.02
136, 0.05, 226,     120,      0, 0.82, 0.09, 0.04, 0.03, 0.02
137, 0.06, 225,     120,      0, 0.81, 0.09, 0.05, 0.04, 0.02
138, 0.07, 224,     120,      0, 0.80, 0.09, 0.05, 0.04, 0.02
139, 0.08, 222,     120,      0, 0.79, 0.10, 0.05, 0.04, 0.03
140, 0.09, 221,     120,      0, 0.77, 0.10, 0.05, 0.05, 0.03
141, 0.11, 220,     120,      2, 0.76, 0.10, 0.06, 0.05, 0.03
142, 0.12, 257,     160,      0, 0.96, 0.02, 0.01, 0.00, 0.00
143, 0.14, 254,     160,      0, 0.96, 0.03, 0.01, 0.01, 0.00
144, 0.16, 251,     160,      0, 0.95, 0.03, 0.01, 0.01, 0.00
145, 0.19, 248,     160,      0, 0.93, 0.04, 0.01, 0.01, 0.00
146, 0.22, 246,     160,      0, 0.92, 0.04, 0.02, 0.01, 0.01
147, 0.25, 244,     160,      0, 0.91, 0.05, 0.02, 0.01, 0.01
148, 0.29, 242,     160,      0, 0.90, 0.05, 0.02, 0.02, 0.01
149, 0.32, 240,     160,      0, 0.89, 0.06, 0.03, 0.02, 0.01
150, 0.37, 239,     160,      0, 0.88, 0.06, 0.03, 0.02, 0.01
151, 0.41, 237,     160,      0, 0.87, 0.07, 0.03, 0.02, 0.01
152, 0.44, 236,     160,      0, 0.86, 0.07, 0.03, 0.02, 0.01
153, 0.52, 234,     160,      0, 0.85, 0.07, 0.04, 0.03, 0.01
154, 0.57, 233,     160,      0, 0.84, 0.08, 0.04, 0.03, 0.02
155, 0.66, 233,     160,      0, 0.83, 0.08, 0.04, 0.03, 0.02
156, 0.73, 231,     160,      2, 0.82, 0.09, 0.04, 0.03, 0.02
157, 0.80, 268,     200,      0, 0.98, 0.01, 0.00, 0.00, 0.00
158, 0.88, 266,     200,      0, 0.98, 0.02, 0.00, 0.00, 0.00
159, 0.98, 263,     200,      0, 0.97, 0.02, 0.01, 0.00, 0.00
160, 1.08, 261,     200,      0, 0.97, 0.02, 0.01, 0.00, 0.00
161, 1.22, 258,     200,      0, 0.96, 0.03, 0.01, 0.00, 0.00
162, 1.36, 255,     200,      0, 0.95, 0.03, 0.01, 0.01, 0.00
163, 1.50, 253,     200,      0, 0.94, 0.04, 0.01, 0.01, 0.00
164, 1.61, 251,     200,      0, 0.92, 0.04, 0.02, 0.01, 0.01
165, 1.71, 249,     200,      0, 0.91, 0.05, 0.02, 0.01, 0.01
166, 1.76, 248,     200,      0, 0.90, 0.05, 0.02, 0.01, 0.01
167, 1.88, 253,     200,      0, 0.92, 0.05, 0.02, 0.01, 0.01
168, 2.04, 250,     200,      0, 0.90, 0.05, 0.02, 0.01, 0.01
169, 2.16, 251,     200,      0, 0.90, 0.05, 0.02, 0.02, 0.01
170, 2.35, 248,     200,      0, 0.88, 0.06, 0.03, 0.02, 0.01
171, 2.46, 246,     200,      0, 0.86, 0.07, 0.03, 0.02, 0.01
172, 2.54, 245,     200,      0, 0.85, 0.07, 0.03, 0.03, 0.01
173, 2.65, 259,     200,      0, 0.92, 0.04, 0.02, 0.01, 0.01
174, 2.75, 266,     200,      0, 0.95, 0.03, 0.01, 0.01, 0.00
175, 2.80, 265,     200,      0, 0.94, 0.03, 0.01, 0.01, 0.00
176, 2.87, 263,     200,      0, 0.93, 0.04, 0.01, 0.01, 0.00
177, 2.95, 276,     200,      0, 0.98, 0.02, 0.00, 0.00, 0.00
178, 3.04, 282,     200,      0, 0.99, 0.01, 0.00, 0.00, 0.00
179, 3.19, 279,     200,      0, 0.98, 0.01, 0.00, 0.00, 0.00
180, 3.26, 276,     200,      0, 0.97, 0.02, 0.01, 0.00, 0.00
181, 3.33, 275,     200,      0, 0.97, 0.02, 0.01, 0.00, 0.00
182, 3.41, 272,     200,      0, 0.95, 0.03, 0.01, 0.01, 0.00
183, 3.47, 269,     200,      0, 0.93, 0.04, 0.01, 0.01, 0.00
184, 3.54, 266,     200,      1, 0.91, 0.05, 0.02, 0.01, 0.01
185, 3.62, 283,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
186, 3.70, 284,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
187, 3.76, 281,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
188, 3.82, 278,     220,      0, 0.98, 0.01, 0.00, 0.00, 0.00
189, 3.88, 274,     220,      0, 0.97, 0.02, 0.01, 0.00, 0.00
190, 3.97, 271,     220,      0, 0.95, 0.03, 0.01, 0.01, 0.00
191, 4.06, 267,     220,      1, 0.92, 0.05, 0.02, 0.01, 0.01
192, 4.13, 284,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
193, 4.19, 281,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
194, 4.24, 277,     240,      0, 0.98, 0.01, 0.00, 0.00, 0.00
195, 4.28, 273,     240,      1, 0.97, 0.02, 0.01, 0.00, 0.00
196, 4.31, 290,     260,      0, 1.00, 0.00, 0.00, 0.00, 0.00
197, 4.35, 287,     260,      0, 0.99, 0.00, 0.00, 0.00, 0.00
198, 4.39, 284,     260,      0, 0.99, 0.01, 0.00, 0.00, 0.00
199, 4.43, 280,     260,      0, 0.99, 0.01, 0.00, 0.00, 0.00
200, 4.45, 278,     260,      0, 0.99, 0.01, 0.00, 0.00, 0.00
201, 4.47, 279,     260,      0, 0.99, 0.01, 0.00, 0.00, 0.00
202, 4.49, 308,     260,      0, 1.00, 0.00, 0.00, 0.00, 0.00
203, 4.54, 317,     260,      0, 1.00, 0.00, 0.00, 0.00, 0.00
204, 4.61, 314,     260,      0, 1.00, 0.00, 0.00, 0.00, 0.00
205, 4.68, 310,     260,      0, 1.00, 0.00, 0.00, 0.00, 0.00
206, 4.73, 306,     260,      0, 1.00, 0.00, 0.00, 0.00, 0.00
207, 4.81, 303,     260,      0, 1.00, 0.00, 0.00, 0.00, 0.00
