5763.038
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
133, 0.00, 248,       0,      0, 0.76, 0.10, 0.06, 0.05, 0.03
134, 0.00, 250,       0,      0, 0.77, 0.10, 0.05, 0.05, 0.03
135, 0.00, 247,       0,      1, 0.75, 0.11, 0.06, 0.05, 0.03
136, 0.00, 264,      20,      0, 0.87, 0.07, 0.03, 0.02, 0.01
137, 0.00, 261,      20,      1, 0.85, 0.07, 0.03, 0.03, 0.01
138, 0.00, 277,      40,      0, 0.94, 0.03, 0.01, 0.01, 0.00
139, 0.00, 275,      40,      1, 0.93, 0.04, 0.01, 0.01, 0.00
140, 0.00, 292,      60,      0, 0.98, 0.01, 0.00, 0.00, 0.00
141, 0.02, 289,      60,      0, 0.98, 0.01, 0.00, 0.00, 0.00
142, 0.03, 286,      60,      0, 0.97, 0.02, 0.01, 0.00, 0.00
143, 0.03, 283,      60,      0, 0.96, 0.02, 0.01, 0.00, 0.00
144, 0.03, 281,      60,      0, 0.96, 0.03, 0.01, 0.00, 0.00
145, 0.03, 280,      60,      0, 0.95, 0.03, 0.01, 0.01, 0.00
146, 0.03, 279,      60,      0, 0.95, 0.03, 0.01, 0.01, 0.00
147, 0.03, 292,      60,      0, 0.98, 0.01, 0.00, 0.00, 0.00
148, 0.04, 294,      60,      0, 0.98, 0.01, 0.00, 0.00, 0.00
149, 0.04, 291,      60,      0, 0.98, 0.02, 0.00, 0.00, 0.00
150, 0.05, 288,      60,      0, 0.97, 0.02, 0.01, 0.00, 0.00
151, 0.06, 285,      60,      0, 0.96, 0.03, 0.01, 0.00, 0.00
152, 0.07, 283,      60,      0, 0.95, 0.03, 0.01, 0.01, 0.00
153, 0.08, 281,      60,      0, 0.95, 0.03, 0.01, 0.01, 0.00
154, 0.09, 280,      60,      0, 0.94, 0.04, 0.01, 0.01, 0.00
155, 0.10, 279,      60,      0, 0.93, 0.04, 0.01, 0.01, 0.00
156, 0.12, 278,      60,      0, 0.92, 0.04, 0.02, 0.01, 0.01
157, 0.13, 277,      60,      1, 0.92, 0.05, 0.02, 0.01, 0.01
158, 0.15, 294,      80,      1, 0.98, 0.01, 0.00, 0.00, 0.00
159, 0.17, 312,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
160, 0.19, 312,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
161, 0.22, 309,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
162, 0.25, 307,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
163, 0.29, 305,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
164, 0.33, 302,     100,      0, 0.99, 0.00, 0.00, 0.00, 0.00
165, 0.37, 300,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
166, 0.40, 297,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
167, 0.43, 295,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
168, 0.47, 293,     100,      0, 0.98, 0.01, 0.00, 0.00, 0.00
169, 0.49, 292,     100,      0, 0.98, 0.01, 0.00, 0.00, 0.00
170, 0.51, 291,     100,      0, 0.98, 0.02, 0.00, 0.00, 0.00
171, 0.54, 289,     100,      0, 0.97, 0.02, 0.01, 0.00, 0.00
172, 0.63, 288,     100,      0, 0.96, 0.02, 0.01, 0.00, 0.00
173, 0.72, 286,     100,      1, 0.95, 0.03, 0.01, 0.01, 0.00
174, 0.75, 304,     120,      0, 0.99, 0.00, 0.00, 0.00, 0.00
175, 0.77, 302,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
176, 0.79, 300,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
177, 0.81, 298,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
178, 0.84, 296,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
179, 0.91, 294,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
180, 0.97, 293,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
181, 1.03, 292,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
182, 1.08, 292,     120,      0, 0.98, 0.02, 0.00, 0.00, 0.00
183, 1.17, 312,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
184, 1.30, 310,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
185, 1.37, 308,     120,      0, 0.99, 0.00, 0.00, 0.00, 0.00
186, 1.42, 306,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
187, 1.45, 303,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
188, 1.50, 301,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
189, 1.57, 300,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
190, 1.64, 300,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
191, 1.71, 301,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
192, 1.84, 298,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
193, 1.96, 296,     120,      0, 0.98, 0.02, 0.00, 0.00, 0.00
