5783.615
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
136, 0.00, 226,       0,      1, 0.56, 0.16, 0.11, 0.10, 0.07
137, 0.00, 250,      20,      0, 0.79, 0.09, 0.05, 0.04, 0.02
138, 0.00, 250,      20,      0, 0.79, 0.09, 0.05, 0.04, 0.02
139, 0.00, 247,      20,      0, 0.76, 0.10, 0.06, 0.05, 0.03
140, 0.00, 244,      20,      0, 0.74, 0.11, 0.06, 0.06, 0.03
141, 0.00, 240,      20,      2, 0.70, 0.12, 0.07, 0.06, 0.04
142, 0.00, 272,      60,      0, 0.94, 0.04, 0.01, 0.01, 0.00
143, 0.02, 270,      60,      0, 0.92, 0.04, 0.02, 0.01, 0.01
144, 0.03, 267,      60,      0, 0.90, 0.05, 0.02, 0.01, 0.01
145, 0.03, 264,      60,      0, 0.89, 0.06, 0.03, 0.02, 0.01
146, 0.03, 262,      60,      0, 0.88, 0.06, 0.03, 0.02, 0.01
147, 0.03, 261,      60,      0, 0.87, 0.07, 0.03, 0.02, 0.01
148, 0.03, 259,      60,      0, 0.86, 0.07, 0.03, 0.02, 0.01
149, 0.03, 258,      60,      0, 0.85, 0.07, 0.03, 0.03, 0.01
150, 0.03, 257,      60,      0, 0.84, 0.08, 0.04, 0.03, 0.02
151, 0.04, 256,      60,      0, 0.84, 0.08, 0.04, 0.03, 0.02
152, 0.05, 255,      60,      0, 0.83, 0.08, 0.04, 0.03, 0.02
153, 0.05, 255,      60,      0, 0.82, 0.08, 0.04, 0.03, 0.02
154, 0.05, 254,      60,      0, 0.81, 0.09, 0.04, 0.04, 0.02
155, 0.06, 253,      60,      0, 0.81, 0.09, 0.05, 0.04, 0.02
156, 0.07, 252,      60,      0, 0.80, 0.09, 0.05, 0.04, 0.02
157, 0.08, 251,      60,      0, 0.79, 0.10, 0.05, 0.04, 0.02
158, 0.09, 270,      60,      0, 0.88, 0.06, 0.03, 0.02, 0.01
159, 0.10, 267,      60,      0, 0.86, 0.07, 0.03, 0.02, 0.01
160, 0.11, 265,      60,      1, 0.85, 0.07, 0.03, 0.03, 0.01
161, 0.13, 283,      80,      0, 0.95, 0.03, 0.01, 0.01, 0.00
162, 0.15, 280,      80,      0, 0.94, 0.03, 0.01, 0.01, 0.00
163, 0.17, 278,      80,      0, 0.93, 0.04, 0.01, 0.01, 0.00
164, 0.18, 276,      80,      0, 0.91, 0.05, 0.02, 0.01, 0.01
165, 0.21, 273,      80,      0, 0.90, 0.05, 0.02, 0.02, 0.01
166, 0.23, 272,      80,      0, 0.89, 0.06, 0.03, 0.02, 0.01
167, 0.27, 269,      80,      0, 0.87, 0.07, 0.03, 0.02, 0.01
168, 0.31, 267,      80,      0, 0.86, 0.07, 0.03, 0.03, 0.01
169, 0.35, 266,      80,      0, 0.85, 0.08, 0.04, 0.03, 0.02
170, 0.39, 265,      80,      0, 0.84, 0.08, 0.04, 0.03, 0.02
171, 0.44, 263,      80,      0, 0.83, 0.08, 0.04, 0.03, 0.02
172, 0.49, 262,      80,      0, 0.81, 0.09, 0.04, 0.04, 0.02
173, 0.53, 261,      80,      0, 0.80, 0.09, 0.05, 0.04, 0.02
174, 0.60, 261,      80,      0, 0.80, 0.09, 0.05, 0.04, 0.02
175, 0.65, 273,      80,      0, 0.86, 0.07, 0.03, 0.03, 0.01
176, 0.71, 272,      80,      0, 0.85, 0.08, 0.04, 0.03, 0.02
177, 0.79, 269,      80,      0, 0.83, 0.08, 0.04, 0.03, 0.02
178, 0.83, 267,      80,      0, 0.81, 0.09, 0.04, 0.04, 0.02
179, 0.87, 265,      80,      0, 0.80, 0.09, 0.05, 0.04, 0.02
180, 0.91, 263,      80,      0, 0.78, 0.10, 0.05, 0.04, 0.03
181, 0.95, 261,      80,      0, 0.76, 0.10, 0.06, 0.05, 0.03
182, 0.98, 258,      80,      0, 0.74, 0.11, 0.06, 0.05, 0.03
183, 1.04, 256,      80,      0, 0.72, 0.12, 0.07, 0.06, 0.04
184, 1.13, 255,      80,      0, 0.70, 0.12, 0.07, 0.06, 0.04
185, 1.20, 253,      80,      0, 0.68, 0.13, 0.08, 0.07, 0.05
186, 1.26, 251,      80,      0, 0.65, 0.13, 0.08, 0.08, 0.05
187, 1.32, 249,      80,      0, 0.63, 0.14, 0.09, 0.08, 0.06
188, 1.39, 247,      80,      1, 0.61, 0.14, 0.09, 0.09, 0.06
189, 1.48, 265,     100,      0, 0.78, 0.10, 0.05, 0.05, 0.03
190, 1.57, 274,     100,      0, 0.82, 0.08, 0.04, 0.03, 0.02
191, 1.63, 274,     100,      0, 0.82, 0.09, 0.04, 0.03, 0.02
192, 1.74, 271,     100,      0, 0.79, 0.09, 0.05, 0.04, 0.02
193, 1.88, 268,     100,      0, 0.77, 0.10, 0.05, 0.05, 0.03
194, 2.05, 264,     100,      0, 0.74, 0.11, 0.06, 0.05, 0.03
195, 2.14, 265,     100,      1, 0.74, 0.11, 0.06, 0.05, 0.03
196, 2.23, 283,     120,      0, 0.88, 0.06, 0.03, 0.02, 0.01
197, 2.28, 281,     120,      0, 0.86, 0.07, 0.03, 0.03, 0.01
198, 2.33, 278,     120,      0, 0.84, 0.08, 0.04, 0.03, 0.02
199, 2.36, 276,     120,      0, 0.82, 0.08, 0.04, 0.03, 0.02
200, 2.44, 274,     120,      0, 0.80, 0.09, 0.05, 0.04, 0.02
201, 2.49, 271,     120,      1, 0.78, 0.10, 0.05, 0.04, 0.03
202, 2.60, 288,     140,      0, 0.93, 0.04, 0.01, 0.01, 0.00
203, 2.71, 285,     140,      0, 0.89, 0.06, 0.02, 0.02, 0.01
204, 2.78, 280,     140,      0, 0.85, 0.07, 0.03, 0.03, 0.01
205, 2.87, 276,     140,      0, 0.82, 0.08, 0.04, 0.03, 0.02
206, 2.93, 274,     140,      2, 0.80, 0.09, 0.05, 0.04, 0.02
207, 2.95, 304,     180,      0, 0.99, 0.00, 0.00, 0.00, 0.00
208, 2.97, 301,     180,      0, 0.99, 0.01, 0.00, 0.00, 0.00
209, 3.00, 299,     180,      0, 0.99, 0.01, 0.00, 0.00, 0.00
210, 3.05, 295,     180,      0, 0.98, 0.01, 0.00, 0.00, 0.00
211, 3.10, 292,     180,      0, 0.98, 0.02, 0.00, 0.00, 0.00
212, 3.16, 288,     180,      0, 0.96, 0.03, 0.01, 0.00, 0.00
213, 3.29, 284,     180,      0, 0.92, 0.04, 0.02, 0.01, 0.01
214, 3.44, 279,     180,      0, 0.86, 0.07, 0.03, 0.02, 0.01
215, 3.58, 276,     180,      0, 0.83, 0.08, 0.04, 0.03, 0.02
