5564.038
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
134, 0.00, 167,       0,      0, 0.39, 0.20, 0.16, 0.15, 0.11
135, 0.00, 202,       0,      4, 0.44, 0.18, 0.14, 0.14, 0.10
136, 0.00, 232,      80,      0, 0.79, 0.10, 0.05, 0.04, 0.02
137, 0.00, 229,      80,      0, 0.77, 0.10, 0.06, 0.05, 0.03
138, 0.00, 226,      80,      0, 0.74, 0.11, 0.06, 0.06, 0.03
139, 0.00, 223,      80,      1, 0.71, 0.12, 0.07, 0.06, 0.04
140, 0.00, 240,     100,      0, 0.84, 0.08, 0.04, 0.03, 0.02
141, 0.02, 238,     100,      0, 0.83, 0.08, 0.04, 0.03, 0.02
142, 0.03, 234,     100,      0, 0.81, 0.09, 0.04, 0.04, 0.02
143, 0.03, 232,     100,      0, 0.80, 0.09, 0.05, 0.04, 0.02
144, 0.03, 229,     100,      0, 0.77, 0.10, 0.05, 0.05, 0.03
145, 0.03, 228,     100,      0, 0.76, 0.10, 0.06, 0.05, 0.03
146, 0.03, 227,     100,      0, 0.75, 0.11, 0.06, 0.05, 0.03
147, 0.04, 226,     100,      0, 0.73, 0.11, 0.06, 0.06, 0.04
148, 0.05, 225,     100,      1, 0.72, 0.12, 0.07, 0.06, 0.04
149, 0.05, 244,     120,      0, 0.86, 0.07, 0.03, 0.02, 0.01
150, 0.06, 242,     120,      0, 0.85, 0.08, 0.04, 0.03, 0.02
151, 0.07, 240,     120,      0, 0.83, 0.08, 0.04, 0.03, 0.02
152, 0.08, 237,     120,      0, 0.82, 0.09, 0.04, 0.03, 0.02
153, 0.09, 235,     120,      0, 0.80, 0.09, 0.05, 0.04, 0.02
154, 0.09, 234,     120,      0, 0.80, 0.09, 0.05, 0.04, 0.02
155, 0.10, 242,     120,      0, 0.84, 0.08, 0.04, 0.03, 0.02
156, 0.11, 242,     120,      0, 0.83, 0.08, 0.04, 0.03, 0.02
157, 0.12, 239,     120,      0, 0.81, 0.09, 0.04, 0.04, 0.02
158, 0.14, 236,     120,      0, 0.79, 0.09, 0.05, 0.04, 0.02
159, 0.16, 234,     120,      2, 0.77, 0.10, 0.05, 0.05, 0.03
160, 0.19, 268,     160,      0, 0.97, 0.02, 0.01, 0.00, 0.00
161, 0.22, 266,     160,      2, 0.96, 0.03, 0.01, 0.00, 0.00
162, 0.25, 290,     200,      0, 1.00, 0.00, 0.00, 0.00, 0.00
163, 0.28, 288,     200,      0, 1.00, 0.00, 0.00, 0.00, 0.00
164, 0.32, 286,     200,      0, 1.00, 0.00, 0.00, 0.00, 0.00
165, 0.35, 284,     200,      0, 0.99, 0.00, 0.00, 0.00, 0.00
166, 0.38, 281,     200,      0, 0.99, 0.01, 0.00, 0.00, 0.00
167, 0.41, 279,     200,      0, 0.99, 0.01, 0.00, 0.00, 0.00
168, 0.47, 277,     200,      0, 0.99, 0.01, 0.00, 0.00, 0.00
169, 0.54, 274,     200,      0, 0.98, 0.01, 0.00, 0.00, 0.00
170, 0.62, 272,     200,      0, 0.98, 0.01, 0.00, 0.00, 0.00
171, 0.70, 270,     200,      0, 0.98, 0.02, 0.00, 0.00, 0.00
172, 0.78, 268,     200,      0, 0.97, 0.02, 0.01, 0.00, 0.00
173, 0.86, 266,     200,      0, 0.97, 0.02, 0.01, 0.00, 0.00
174, 0.93, 265,     200,      0, 0.96, 0.03, 0.01, 0.00, 0.00
175, 0.99, 263,     200,      0, 0.95, 0.03, 0.01, 0.01, 0.00
176, 1.05, 261,     200,      0, 0.95, 0.03, 0.01, 0.01, 0.00
177, 1.19, 259,     200,      1, 0.93, 0.04, 0.01, 0.01, 0.00
178, 1.32, 277,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
179, 1.45, 274,     220,      0, 0.98, 0.01, 0.00, 0.00, 0.00
180, 1.55, 272,     220,      0, 0.98, 0.02, 0.00, 0.00, 0.00
181, 1.66, 269,     220,      0, 0.97, 0.02, 0.01, 0.00, 0.00
182, 1.76, 267,     220,      0, 0.96, 0.02, 0.01, 0.00, 0.00
183, 1.88, 265,     220,      0, 0.96, 0.03, 0.01, 0.01, 0.00
184, 1.98, 263,     220,      0, 0.95, 0.03, 0.01, 0.01, 0.00
185, 2.10, 260,     220,      0, 0.93, 0.04, 0.02, 0.01, 0.00
186, 2.26, 258,     220,      0, 0.91, 0.05, 0.02, 0.01, 0.01
187, 2.43, 256,     220,      0, 0.89, 0.06, 0.02, 0.02, 0.01
188, 2.58, 253,     220,      0, 0.87, 0.06, 0.03, 0.02, 0.01
189, 2.72, 251,     220,      0, 0.86, 0.07, 0.03, 0.03, 0.01
190, 2.82, 250,     220,      0, 0.84, 0.08, 0.04, 0.03, 0.02
191, 2.90, 249,     220,      0, 0.84, 0.08, 0.04, 0.03, 0.02
192, 2.97, 272,     220,      0, 0.96, 0.03, 0.01, 0.00, 0.00
193, 3.06, 283,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
194, 3.22, 291,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
195, 3.32, 289,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
196, 3.42, 287,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
197, 3.52, 284,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
198, 3.62, 281,     220,      0, 0.98, 0.01, 0.00, 0.00, 0.00
199, 3.70, 278,     220,      0, 0.97, 0.02, 0.01, 0.00, 0.00
200, 3.78, 275,     220,      0, 0.95, 0.03, 0.01, 0.01, 0.00
201, 3.87, 272,     220,      0, 0.93, 0.04, 0.02, 0.01, 0.00
202, 3.97, 270,     220,      0, 0.90, 0.05, 0.02, 0.02, 0.01
203, 4.10, 269,     220,      0, 0.88, 0.06, 0.03, 0.02, 0.01
204, 4.27, 266,     220,      0, 0.86, 0.07, 0.03, 0.02, 0.01
205, 4.46, 263,     220,      3, 0.83, 0.08, 0.04, 0.03, 0.02
206, 4.60, 297,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
207, 4.71, 293,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
208, 4.82, 293,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
209, 4.92, 293,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
210, 4.99, 291,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
211, 5.06, 288,     280,      0, 0.99, 0.00, 0.00, 0.00, 0.00
212, 5.14, 284,     280,      0, 0.99, 0.01, 0.00, 0.00, 0.00
213, 5.31, 280,     280,      0, 0.99, 0.01, 0.00, 0.00, 0.00
214, 5.49, 276,     280,      0, 0.98, 0.01, 0.00, 0.00, 0.00
215, 5.69, 273,     280,      0, 0.97, 0.02, 0.01, 0.00, 0.00
216, 5.77, 270,     280,      0, 0.95, 0.03, 0.01, 0.01, 0.00
