5894.766
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
150, 0.00, 158,       0,      1, 0.37, 0.20, 0.16, 0.15, 0.12
151, 0.00, 198,      20,      0, 0.42, 0.19, 0.14, 0.14, 0.11
152, 0.00, 195,      20,      0, 0.42, 0.19, 0.15, 0.14, 0.11
153, 0.00, 192,      20,      1, 0.41, 0.19, 0.15, 0.14, 0.11
154, 0.00, 209,      40,      1, 0.46, 0.18, 0.13, 0.13, 0.10
155, 0.00, 226,      60,      1, 0.60, 0.15, 0.10, 0.09, 0.06
156, 0.00, 243,      80,      0, 0.78, 0.10, 0.05, 0.04, 0.03
157, 0.00, 241,      80,      0, 0.76, 0.11, 0.06, 0.05, 0.03
158, 0.00, 238,      80,      0, 0.73, 0.11, 0.06, 0.06, 0.03
159, 0.02, 236,      80,      4, 0.71, 0.12, 0.07, 0.06, 0.04
160, 0.03, 266,     160,      0, 0.96, 0.02, 0.01, 0.00, 0.00
161, 0.03, 263,     160,      0, 0.95, 0.03, 0.01, 0.01, 0.00
162, 0.03, 261,     160,      0, 0.95, 0.03, 0.01, 0.01, 0.00
163, 0.03, 258,     160,      0, 0.93, 0.04, 0.01, 0.01, 0.00
164, 0.03, 256,     160,      0, 0.92, 0.04, 0.02, 0.01, 0.01
165, 0.03, 253,     160,      0, 0.91, 0.05, 0.02, 0.01, 0.01
166, 0.03, 252,     160,      1, 0.90, 0.05, 0.02, 0.02, 0.01
167, 0.04, 270,     180,      0, 0.97, 0.02, 0.01, 0.00, 0.00
168, 0.04, 267,     180,      0, 0.97, 0.02, 0.01, 0.00, 0.00
169, 0.05, 264,     180,      0, 0.96, 0.03, 0.01, 0.00, 0.00
170, 0.06, 261,     180,      0, 0.95, 0.03, 0.01, 0.01, 0.00
171, 0.06, 259,     180,      0, 0.94, 0.04, 0.01, 0.01, 0.00
172, 0.07, 257,     180,      0, 0.93, 0.04, 0.02, 0.01, 0.00
173, 0.08, 256,     180,      0, 0.92, 0.04, 0.02, 0.01, 0.01
174, 0.08, 254,     180,      0, 0.91, 0.05, 0.02, 0.01, 0.01
175, 0.09, 253,     180,      0, 0.91, 0.05, 0.02, 0.01, 0.01
176, 0.10, 252,     180,      0, 0.90, 0.05, 0.02, 0.02, 0.01
177, 0.11, 251,     180,      0, 0.89, 0.06, 0.02, 0.02, 0.01
178, 0.12, 251,     180,      0, 0.88, 0.06, 0.03, 0.02, 0.01
179, 0.14, 250,     180,      0, 0.87, 0.06, 0.03, 0.02, 0.01
180, 0.15, 249,     180,      0, 0.87, 0.07, 0.03, 0.02, 0.01
181, 0.16, 248,     180,      0, 0.86, 0.07, 0.03, 0.02, 0.01
182, 0.17, 247,     180,      1, 0.85, 0.07, 0.03, 0.03, 0.01
183, 0.19, 264,     200,      0, 0.95, 0.03, 0.01, 0.01, 0.00
184, 0.20, 261,     200,      2, 0.94, 0.04, 0.01, 0.01, 0.00
185, 0.21, 291,     240,      0, 1.00, 0.00, 0.00, 0.00, 0.00
186, 0.22, 288,     240,      0, 1.00, 0.00, 0.00, 0.00, 0.00
187, 0.23, 286,     240,      0, 1.00, 0.00, 0.00, 0.00, 0.00
188, 0.25, 284,     240,      0, 0.99, 0.00, 0.00, 0.00, 0.00
189, 0.29, 281,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
190, 0.33, 278,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
191, 0.36, 276,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
192, 0.39, 275,     240,      0, 0.98, 0.01, 0.00, 0.00, 0.00
193, 0.41, 273,     240,      0, 0.98, 0.01, 0.00, 0.00, 0.00
194, 0.46, 271,     240,      0, 0.98, 0.02, 0.00, 0.00, 0.00
195, 0.49, 270,     240,      0, 0.97, 0.02, 0.01, 0.00, 0.00
196, 0.51, 285,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
197, 0.54, 285,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
198, 0.62, 285,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
199, 0.71, 283,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
200, 0.76, 281,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
201, 0.84, 279,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
202, 0.86, 277,     240,      0, 0.98, 0.01, 0.00, 0.00, 0.00
203, 0.90, 275,     240,      0, 0.98, 0.02, 0.00, 0.00, 0.00
204, 0.96, 273,     240,      0, 0.97, 0.02, 0.01, 0.00, 0.00
205, 1.03, 271,     240,      0, 0.96, 0.02, 0.01, 0.00, 0.00
206, 1.10, 270,     240,      0, 0.96, 0.03, 0.01, 0.01, 0.00
207, 1.15, 268,     240,      0, 0.95, 0.03, 0.01, 0.01, 0.00
208, 1.24, 266,     240,      0, 0.93, 0.04, 0.01, 0.01, 0.00
209, 1.34, 263,     240,      0, 0.92, 0.05, 0.02, 0.01, 0.01
210, 1.43, 260,     240,      0, 0.90, 0.06, 0.02, 0.02, 0.01
211, 1.50, 258,     240,      0, 0.88, 0.06, 0.03, 0.02, 0.01
212, 1.52, 256,     240,      0, 0.86, 0.07, 0.03, 0.02, 0.01
213, 1.55, 254,     240,      0, 0.85, 0.07, 0.04, 0.03, 0.01
