5856.505
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
140, 0.00, 222,       0,      4, 0.51, 0.17, 0.12, 0.12, 0.08
141, 0.00, 267,      80,      0, 0.94, 0.04, 0.01, 0.01, 0.00
142, 0.00, 265,      80,      0, 0.93, 0.04, 0.02, 0.01, 0.01
143, 0.00, 263,      80,      0, 0.91, 0.05, 0.02, 0.01, 0.01
144, 0.00, 260,      80,      0, 0.89, 0.06, 0.02, 0.02, 0.01
145, 0.00, 256,      80,      0, 0.88, 0.06, 0.03, 0.02, 0.01
146, 0.00, 255,      80,      0, 0.87, 0.07, 0.03, 0.02, 0.01
147, 0.00, 253,      80,      0, 0.86, 0.07, 0.03, 0.02, 0.01
148, 0.02, 252,      80,      0, 0.85, 0.07, 0.03, 0.03, 0.01
149, 0.03, 251,      80,      1, 0.84, 0.08, 0.04, 0.03, 0.02
150, 0.03, 268,     100,      0, 0.94, 0.04, 0.01, 0.01, 0.00
151, 0.03, 268,     100,      0, 0.94, 0.04, 0.01, 0.01, 0.00
152, 0.03, 265,     100,      0, 0.92, 0.04, 0.02, 0.01, 0.01
153, 0.03, 262,     100,      1, 0.90, 0.05, 0.02, 0.01, 0.01
154, 0.04, 279,     120,      0, 0.98, 0.02, 0.00, 0.00, 0.00
155, 0.04, 278,     120,      0, 0.97, 0.02, 0.01, 0.00, 0.00
156, 0.04, 286,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
157, 0.04, 288,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
158, 0.05, 286,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
159, 0.05, 285,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
160, 0.06, 286,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
161, 0.07, 283,     120,      0, 0.98, 0.02, 0.00, 0.00, 0.00
162, 0.08, 280,     120,      0, 0.97, 0.02, 0.01, 0.00, 0.00
163, 0.10, 277,     120,      0, 0.96, 0.02, 0.01, 0.00, 0.00
164, 0.11, 275,     120,      0, 0.95, 0.03, 0.01, 0.01, 0.00
165, 0.12, 274,     120,      0, 0.95, 0.03, 0.01, 0.01, 0.00
166, 0.14, 272,     120,      0, 0.94, 0.04, 0.01, 0.01, 0.00
167, 0.16, 271,     120,      0, 0.93, 0.04, 0.01, 0.01, 0.00
168, 0.18, 270,     120,      0, 0.92, 0.04, 0.02, 0.01, 0.01
169, 0.21, 268,     120,      0, 0.91, 0.05, 0.02, 0.01, 0.01
170, 0.24, 267,     120,      0, 0.90, 0.05, 0.02, 0.01, 0.01
171, 0.26, 266,     120,      2, 0.90, 0.06, 0.02, 0.02, 0.01
172, 0.27, 304,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
173, 0.30, 301,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
174, 0.33, 300,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
175, 0.36, 298,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
176, 0.40, 296,     160,      0, 0.99, 0.00, 0.00, 0.00, 0.00
177, 0.43, 293,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
178, 0.45, 291,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
