5929.905
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
150, 0.00, 196,       0,      0, 0.41, 0.19, 0.15, 0.14, 0.11
151, 0.00, 217,       0,      0, 0.46, 0.18, 0.13, 0.13, 0.10
152, 0.00, 214,       0,      2, 0.45, 0.18, 0.14, 0.13, 0.10
153, 0.00, 247,      40,      0, 0.74, 0.11, 0.06, 0.05, 0.03
154, 0.00, 244,      40,      0, 0.72, 0.12, 0.07, 0.06, 0.04
155, 0.00, 242,      40,      2, 0.69, 0.13, 0.07, 0.07, 0.04
156, 0.00, 270,      80,      0, 0.91, 0.05, 0.02, 0.01, 0.01
157, 0.00, 268,      80,      0, 0.90, 0.06, 0.02, 0.02, 0.01
158, 0.02, 265,      80,      0, 0.88, 0.06, 0.03, 0.02, 0.01
159, 0.03, 262,      80,      0, 0.86, 0.07, 0.03, 0.02, 0.01
160, 0.03, 259,      80,      1, 0.85, 0.07, 0.04, 0.03, 0.01
161, 0.03, 276,     100,      0, 0.95, 0.03, 0.01, 0.01, 0.00
162, 0.03, 273,     100,      0, 0.93, 0.04, 0.01, 0.01, 0.00
163, 0.03, 271,     100,      0, 0.92, 0.04, 0.02, 0.01, 0.01
164, 0.03, 268,     100,      0, 0.90, 0.05, 0.02, 0.01, 0.01
165, 0.03, 265,     100,      0, 0.89, 0.06, 0.03, 0.02, 0.01
166, 0.04, 264,     100,      0, 0.88, 0.06, 0.03, 0.02, 0.01
167, 0.04, 263,     100,      0, 0.87, 0.07, 0.03, 0.02, 0.01
168, 0.05, 261,     100,      0, 0.86, 0.07, 0.03, 0.02, 0.01
169, 0.05, 260,     100,      3, 0.85, 0.07, 0.03, 0.03, 0.01
170, 0.06, 297,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
171, 0.07, 294,     160,      0, 0.99, 0.00, 0.00, 0.00, 0.00
172, 0.08, 292,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
173, 0.10, 289,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
174, 0.11, 287,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
175, 0.13, 286,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
176, 0.14, 284,     160,      0, 0.98, 0.01, 0.00, 0.00, 0.00
177, 0.15, 283,     160,      0, 0.98, 0.01, 0.00, 0.00, 0.00
178, 0.17, 282,     160,      0, 0.98, 0.02, 0.00, 0.00, 0.00
179, 0.19, 281,     160,      0, 0.97, 0.02, 0.01, 0.00, 0.00
180, 0.21, 279,     160,      0, 0.97, 0.02, 0.01, 0.00, 0.00
181, 0.24, 278,     160,      0, 0.97, 0.02, 0.01, 0.00, 0.00
182, 0.28, 277,     160,      0, 0.96, 0.03, 0.01, 0.00, 0.00
183, 0.31, 276,     160,      1, 0.96, 0.03, 0.01, 0.01, 0.00
184, 0.34, 294,     180,      0, 0.99, 0.00, 0.00, 0.00, 0.00
185, 0.37, 291,     180,      0, 0.99, 0.01, 0.00, 0.00, 0.00
186, 0.41, 289,     180,      0, 0.99, 0.01, 0.00, 0.00, 0.00
187, 0.45, 286,     180,      0, 0.99, 0.01, 0.00, 0.00, 0.00
188, 0.48, 284,     180,      0, 0.98, 0.01, 0.00, 0.00, 0.00
189, 0.51, 281,     180,      0, 0.97, 0.02, 0.00, 0.00, 0.00
190, 0.52, 279,     180,      0, 0.97, 0.02, 0.01, 0.00, 0.00
191, 0.53, 278,     180,      0, 0.96, 0.02, 0.01, 0.00, 0.00
192, 0.61, 276,     180,      0, 0.96, 0.03, 0.01, 0.01, 0.00
193, 0.65, 275,     180,      0, 0.95, 0.03, 0.01, 0.01, 0.00
194, 0.71, 273,     180,      0, 0.94, 0.04, 0.01, 0.01, 0.00
195, 0.79, 271,     180,      0, 0.93, 0.04, 0.02, 0.01, 0.01
196, 0.84, 269,     180,      0, 0.91, 0.05, 0.02, 0.01, 0.01
197, 0.91, 268,     180,      0, 0.90, 0.06, 0.02, 0.02, 0.01
198, 0.98, 266,     180,      0, 0.88, 0.06, 0.03, 0.02, 0.01
199, 1.05, 265,     180,      0, 0.87, 0.06, 0.03, 0.02, 0.01
200, 1.11, 264,     180,      0, 0.86, 0.07, 0.03, 0.02, 0.01
201, 1.22, 261,     180,      0, 0.84, 0.08, 0.04, 0.03, 0.02
202, 1.31, 259,     180,      1, 0.83, 0.08, 0.04, 0.03, 0.02
203, 1.38, 276,     200,      0, 0.95, 0.03, 0.01, 0.01, 0.00
204, 1.47, 273,     200,      0, 0.93, 0.04, 0.02, 0.01, 0.00
205, 1.52, 271,     200,      0, 0.91, 0.05, 0.02, 0.01, 0.01
206, 1.59, 268,     200,      0, 0.89, 0.06, 0.03, 0.02, 0.01
207, 1.66, 265,     200,      0, 0.87, 0.07, 0.03, 0.02, 0.01
208, 1.73, 264,     200,      0, 0.85, 0.07, 0.03, 0.03, 0.01
209, 1.81, 263,     200,      0, 0.84, 0.08, 0.04, 0.03, 0.02
210, 1.89, 266,     200,      0, 0.85, 0.07, 0.03, 0.03, 0.01
211, 2.03, 264,     200,      0, 0.84, 0.08, 0.04, 0.03, 0.02
212, 2.17, 262,     200,      0, 0.82, 0.09, 0.04, 0.03, 0.02
213, 2.23, 264,     200,      0, 0.83, 0.08, 0.04, 0.03, 0.02
214, 2.31, 287,     200,      0, 0.97, 0.02, 0.01, 0.00, 0.00
215, 2.36, 285,     200,      0, 0.96, 0.02, 0.01, 0.00, 0.00
216, 2.42, 282,     200,      0, 0.94, 0.03, 0.01, 0.01, 0.00
217, 2.48, 279,     200,      1, 0.90, 0.05, 0.02, 0.01, 0.01
218, 2.54, 295,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
219, 2.67, 292,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
220, 2.81, 289,     220,      0, 0.98, 0.01, 0.00, 0.00, 0.00
221, 2.95, 286,     220,      0, 0.97, 0.02, 0.01, 0.00, 0.00
222, 3.02, 282,     220,      0, 0.95, 0.03, 0.01, 0.01, 0.00
223, 3.09, 279,     220,      0, 0.92, 0.05, 0.02, 0.01, 0.01
224, 3.16, 275,     220,      0, 0.87, 0.07, 0.03, 0.02, 0.01
225, 3.23, 271,     220,      0, 0.84, 0.08, 0.04, 0.03, 0.02
226, 3.30, 267,     220,      0, 0.81, 0.09, 0.05, 0.04, 0.02
227, 3.36, 263,     220,      0, 0.78, 0.10, 0.05, 0.04, 0.03
228, 3.44, 259,     220,      0, 0.75, 0.11, 0.06, 0.05, 0.03
229, 3.60, 255,     220,      0, 0.72, 0.12, 0.07, 0.06, 0.04
230, 3.69, 251,     220,      2, 0.68, 0.13, 0.08, 0.07, 0.05
231, 3.81, 287,     260,      0, 0.98, 0.01, 0.00, 0.00, 0.00
232, 3.88, 283,     260,      0, 0.98, 0.02, 0.00, 0.00, 0.00
233, 3.94, 279,     260,      0, 0.96, 0.03, 0.01, 0.00, 0.00
234, 4.02, 276,     260,      0, 0.92, 0.04, 0.02, 0.01, 0.01
235, 4.09, 271,     260,      0, 0.87, 0.07, 0.03, 0.02, 0.01
236, 4.17, 267,     260,      0, 0.82, 0.08, 0.04, 0.03, 0.02
237, 4.26, 264,     260,      0, 0.80, 0.09, 0.05, 0.04, 0.02
238, 4.42, 259,     260,      0, 0.76, 0.10, 0.06, 0.05, 0.03
239, 4.54, 257,     260,      3, 0.74, 0.11, 0.06, 0.05, 0.03
240, 4.60, 290,     320,      0, 1.00, 0.00, 0.00, 0.00, 0.00
241, 4.64, 286,     320,      0, 0.99, 0.01, 0.00, 0.00, 0.00
242, 4.69, 281,     320,      0, 0.99, 0.01, 0.00, 0.00, 0.00
243, 4.75, 276,     320,      0, 0.98, 0.01, 0.00, 0.00, 0.00
244, 4.81, 270,     320,      0, 0.95, 0.03, 0.01, 0.01, 0.00
245, 4.88, 265,     320,      0, 0.89, 0.06, 0.03, 0.02, 0.01
246, 4.94, 258,     320,      0, 0.83, 0.08, 0.04, 0.03, 0.02
247, 4.92, 252,     320,      0, 0.79, 0.10, 0.05, 0.04, 0.03
