5635.753
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
123, 0.00, 250,       0,      0, 0.82, 0.09, 0.04, 0.03, 0.02
124, 0.00, 274,       0,      1, 0.92, 0.04, 0.02, 0.01, 0.01
125, 0.00, 295,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
126, 0.00, 310,      20,      0, 1.00, 0.00, 0.00, 0.00, 0.00
127, 0.00, 307,      20,      0, 0.99, 0.00, 0.00, 0.00, 0.00
128, 0.00, 303,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
129, 0.02, 300,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
130, 0.03, 298,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
131, 0.03, 297,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
132, 0.03, 295,      20,      0, 0.98, 0.01, 0.00, 0.00, 0.00
133, 0.03, 294,      20,      0, 0.98, 0.01, 0.00, 0.00, 0.00
134, 0.03, 293,      20,      0, 0.98, 0.02, 0.00, 0.00, 0.00
135, 0.03, 292,      20,      0, 0.98, 0.02, 0.00, 0.00, 0.00
136, 0.04, 303,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
137, 0.04, 303,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
138, 0.04, 302,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
139, 0.05, 299,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
140, 0.06, 298,      20,      0, 0.98, 0.01, 0.00, 0.00, 0.00
141, 0.07, 296,      20,      0, 0.98, 0.02, 0.00, 0.00, 0.00
142, 0.08, 295,      20,      0, 0.97, 0.02, 0.00, 0.00, 0.00
143, 0.10, 294,      20,      0, 0.97, 0.02, 0.01, 0.00, 0.00
144, 0.11, 293,      20,      0, 0.97, 0.02, 0.01, 0.00, 0.00
145, 0.13, 292,      20,      0, 0.96, 0.02, 0.01, 0.00, 0.00
146, 0.16, 291,      20,      0, 0.96, 0.03, 0.01, 0.01, 0.00
147, 0.18, 290,      20,      0, 0.95, 0.03, 0.01, 0.01, 0.00
148, 0.22, 288,      20,      2, 0.95, 0.03, 0.01, 0.01, 0.00
149, 0.25, 326,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
150, 0.28, 323,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
151, 0.33, 320,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
152, 0.36, 318,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
153, 0.41, 315,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
154, 0.47, 314,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
155, 0.53, 312,      60,      0, 1.00, 0.00, 0.00, 0.00, 0.00
156, 0.61, 310,      60,      0, 0.99, 0.00, 0.00, 0.00, 0.00
157, 0.70, 308,      60,      0, 0.99, 0.00, 0.00, 0.00, 0.00
158, 0.80, 306,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
159, 0.89, 304,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
160, 0.95, 302,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
161, 1.02, 301,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
162, 1.17, 299,      60,      0, 0.98, 0.01, 0.00, 0.00, 0.00
163, 1.33, 297,      60,      1, 0.98, 0.02, 0.00, 0.00, 0.00
164, 1.47, 314,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
165, 1.57, 312,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
166, 1.69, 310,      80,      0, 0.99, 0.00, 0.00, 0.00, 0.00
