5660.099
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
122, 0.00, 272,       0,      0, 0.92, 0.05, 0.02, 0.01, 0.01
123, 0.00, 292,       0,      0, 0.98, 0.02, 0.00, 0.00, 0.00
124, 0.00, 291,       0,      0, 0.97, 0.02, 0.00, 0.00, 0.00
125, 0.00, 288,       0,      0, 0.97, 0.02, 0.01, 0.00, 0.00
126, 0.00, 285,       0,      0, 0.96, 0.03, 0.01, 0.00, 0.00
127, 0.00, 284,       0,      0, 0.95, 0.03, 0.01, 0.01, 0.00
128, 0.00, 282,       0,      0, 0.94, 0.03, 0.01, 0.01, 0.00
129, 0.02, 281,       0,      0, 0.94, 0.04, 0.01, 0.01, 0.00
130, 0.03, 280,       0,      0, 0.93, 0.04, 0.01, 0.01, 0.00
131, 0.03, 279,       0,      0, 0.92, 0.04, 0.02, 0.01, 0.01
132, 0.03, 278,       0,      0, 0.92, 0.05, 0.02, 0.01, 0.01
133, 0.03, 277,       0,      0, 0.91, 0.05, 0.02, 0.01, 0.01
134, 0.03, 279,       0,      0, 0.92, 0.05, 0.02, 0.01, 0.01
135, 0.04, 276,       0,      0, 0.90, 0.05, 0.02, 0.02, 0.01
136, 0.04, 275,       0,      0, 0.89, 0.06, 0.02, 0.02, 0.01
137, 0.05, 274,       0,      1, 0.89, 0.06, 0.03, 0.02, 0.01
138, 0.06, 292,      20,      0, 0.97, 0.02, 0.01, 0.00, 0.00
139, 0.06, 289,      20,      0, 0.96, 0.02, 0.01, 0.00, 0.00
140, 0.07, 286,      20,      0, 0.95, 0.03, 0.01, 0.01, 0.00
141, 0.09, 283,      20,      0, 0.94, 0.04, 0.01, 0.01, 0.00
142, 0.10, 282,      20,      0, 0.93, 0.04, 0.01, 0.01, 0.00
143, 0.11, 280,      20,      0, 0.92, 0.04, 0.02, 0.01, 0.01
144, 0.13, 279,      20,      0, 0.91, 0.05, 0.02, 0.01, 0.01
145, 0.14, 278,      20,      4, 0.90, 0.05, 0.02, 0.01, 0.01
146, 0.16, 316,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
147, 0.19, 313,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
148, 0.22, 316,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
149, 0.25, 318,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
150, 0.28, 330,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
151, 0.32, 328,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
152, 0.35, 326,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
153, 0.39, 324,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
154, 0.41, 321,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
155, 0.44, 319,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
156, 0.51, 317,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
157, 0.58, 314,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
158, 0.65, 312,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
159, 0.69, 310,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
160, 0.75, 309,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
161, 0.83, 307,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
162, 0.91, 305,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
163, 1.00, 303,     100,      0, 0.99, 0.00, 0.00, 0.00, 0.00
164, 1.09, 302,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
165, 1.21, 300,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
166, 1.25, 299,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
167, 1.30, 297,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
168, 1.36, 295,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
169, 1.40, 294,     100,      0, 0.98, 0.01, 0.00, 0.00, 0.00
170, 1.48, 292,     100,      0, 0.98, 0.02, 0.00, 0.00, 0.00
171, 1.59, 290,     100,      0, 0.97, 0.02, 0.01, 0.00, 0.00
172, 1.69, 289,     100,      0, 0.96, 0.02, 0.01, 0.00, 0.00
173, 1.80, 288,     100,      0, 0.96, 0.03, 0.01, 0.01, 0.00
174, 1.91, 291,     100,      0, 0.97, 0.02, 0.01, 0.00, 0.00
175, 2.01, 289,     100,      0, 0.96, 0.03, 0.01, 0.00, 0.00
176, 2.13, 287,     100,      0, 0.94, 0.04, 0.01, 0.01, 0.00
