6297.622
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
181, 0.00, 291,       0,      0, 0.85, 0.07, 0.03, 0.03, 0.01
182, 0.00, 291,       0,      2, 0.84, 0.08, 0.04, 0.03, 0.02
183, 0.00, 316,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
184, 0.00, 319,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
185, 0.00, 337,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
186, 0.00, 335,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
187, 0.00, 333,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
188, 0.00, 330,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
189, 0.00, 328,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
190, 0.02, 326,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
191, 0.02, 326,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
192, 0.03, 339,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
193, 0.03, 341,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
194, 0.03, 338,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
195, 0.03, 336,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
196, 0.03, 333,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
197, 0.03, 330,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
198, 0.03, 329,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
199, 0.04, 327,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
200, 0.04, 326,      40,      0, 0.99, 0.00, 0.00, 0.00, 0.00
201, 0.05, 325,      40,      0, 0.99, 0.00, 0.00, 0.00, 0.00
202, 0.06, 324,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
203, 0.07, 323,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
204, 0.08, 322,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
205, 0.10, 321,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
206, 0.11, 321,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
207, 0.13, 320,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
208, 0.15, 319,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
209, 0.17, 318,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
210, 0.18, 317,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
211, 0.19, 316,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
212, 0.21, 315,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
213, 0.23, 315,      40,      0, 0.98, 0.02, 0.00, 0.00, 0.00
214, 0.28, 314,      40,      0, 0.97, 0.02, 0.01, 0.00, 0.00
215, 0.30, 313,      40,      0, 0.97, 0.02, 0.01, 0.00, 0.00
216, 0.35, 318,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
217, 0.40, 315,      40,      0, 0.98, 0.02, 0.00, 0.00, 0.00
218, 0.44, 314,      40,      0, 0.97, 0.02, 0.01, 0.00, 0.00
219, 0.49, 313,      40,      0, 0.96, 0.02, 0.01, 0.00, 0.00
220, 0.54, 312,      40,      0, 0.96, 0.03, 0.01, 0.01, 0.00
221, 0.57, 320,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
222, 0.64, 337,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
223, 0.72, 334,      40,      0, 1.00, 0.00, 0.00, 0.00, 0.00
224, 0.79, 331,      40,      0, 0.99, 0.00, 0.00, 0.00, 0.00
225, 0.86, 329,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
226, 0.89, 329,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
227, 0.91, 326,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
228, 0.96, 323,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
229, 0.99, 320,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
230, 1.03, 318,      40,      0, 0.97, 0.02, 0.01, 0.00, 0.00
231, 1.09, 317,      40,      0, 0.96, 0.02, 0.01, 0.00, 0.00
232, 1.19, 328,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
233, 1.32, 329,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
234, 1.39, 326,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
235, 1.47, 323,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
236, 1.54, 321,      40,      0, 0.98, 0.02, 0.00, 0.00, 0.00
237, 1.60, 318,      40,      0, 0.96, 0.03, 0.01, 0.00, 0.00
238, 1.67, 314,      40,      0, 0.93, 0.04, 0.01, 0.01, 0.00
239, 1.76, 312,      40,      0, 0.91, 0.05, 0.02, 0.01, 0.01
240, 1.93, 309,      40,      0, 0.87, 0.06, 0.03, 0.02, 0.01
241, 2.04, 308,      40,      2, 0.86, 0.07, 0.03, 0.03, 0.01
242, 2.14, 349,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
243, 2.23, 354,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
244, 2.33, 356,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
245, 2.43, 373,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
246, 2.53, 370,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
247, 2.69, 366,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
248, 2.82, 365,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
249, 2.89, 377,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
250, 2.96, 386,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
251, 3.04, 403,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
252, 3.09, 405,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
253, 3.16, 402,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
254, 3.22, 397,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
255, 3.29, 393,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
256, 3.46, 388,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
257, 3.61, 384,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
258, 3.70, 378,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
259, 3.73, 371,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
260, 3.78, 365,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
261, 3.84, 357,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
262, 3.91, 350,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
263, 3.98, 343,      80,      0, 1.00, 0.00, 0.00, 0.00, 0.00
264, 4.03, 336,      80,      0, 0.99, 0.00, 0.00, 0.00, 0.00
265, 4.09, 329,      80,      0, 0.99, 0.01, 0.00, 0.00, 0.00
266, 4.24, 324,      80,      0, 0.98, 0.01, 0.00, 0.00, 0.00
267, 4.37, 319,      80,      0, 0.95, 0.03, 0.01, 0.01, 0.00
268, 4.47, 313,      80,      0, 0.90, 0.05, 0.02, 0.02, 0.01
269, 4.47, 307,      80,      0, 0.83, 0.08, 0.04, 0.03, 0.02
270, 4.46, 301,      80,      0, 0.77, 0.10, 0.05, 0.05, 0.03
271, 4.44, 299,      80,      0, 0.76, 0.11, 0.06, 0.05, 0.03
272, 4.43, 299,      80,      0, 0.75, 0.11, 0.06, 0.05, 0.03
273, 4.39, 298,      80,      0, 0.74, 0.11, 0.06, 0.06, 0.03
274, 4.35, 293,      80,      1, 0.68, 0.13, 0.08, 0.07, 0.05
275, 4.32, 308,     100,      0, 0.86, 0.07, 0.03, 0.02, 0.01
276, 4.30, 302,     100,      0, 0.80, 0.09, 0.05, 0.04, 0.02
277, 4.29, 295,     100,      0, 0.73, 0.11, 0.06, 0.06, 0.04
278, 4.26, 288,     100,      4, 0.66, 0.13, 0.08, 0.08, 0.05
279, 4.23, 321,     180,      0, 0.99, 0.00, 0.00, 0.00, 0.00
280, 4.20, 316,     180,      0, 0.99, 0.01, 0.00, 0.00, 0.00
281, 4.18, 310,     180,      0, 0.97, 0.02, 0.00, 0.00, 0.00
282, 4.15, 306,     180,      0, 0.95, 0.03, 0.01, 0.01, 0.00
283, 4.13, 300,     180,      0, 0.90, 0.06, 0.02, 0.02, 0.01
284, 4.11, 295,     180,      3, 0.83, 0.08, 0.04, 0.03, 0.02
285, 4.09, 325,     240,      0, 1.00, 0.00, 0.00, 0.00, 0.00
286, 4.07, 318,     240,      0, 1.00, 0.00, 0.00, 0.00, 0.00
287, 4.05, 311,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
288, 4.03, 304,     240,      0, 0.98, 0.01, 0.00, 0.00, 0.00
289, 3.98, 300,     240,      0, 0.97, 0.02, 0.01, 0.00, 0.00
290, 3.92, 313,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
291, 3.87, 314,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
292, 3.81, 319,     240,      0, 1.00, 0.00, 0.00, 0.00, 0.00
293, 3.77, 312,     240,      0, 0.99, 0.01, 0.00, 0.00, 0.00
294, 3.72, 307,     240,      0, 0.98, 0.01, 0.00, 0.00, 0.00
295, 3.68, 304,     240,      0, 0.97, 0.02, 0.00, 0.00, 0.00
296, 3.65, 301,     240,      0, 0.96, 0.02, 0.01, 0.00, 0.00
297, 3.62, 297,     240,      1, 0.93, 0.04, 0.02, 0.01, 0.00
