6504.231
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
180, 0.00, 198,       0,      1, 0.40, 0.19, 0.15, 0.14, 0.11
181, 0.00, 233,      20,      0, 0.48, 0.17, 0.13, 0.12, 0.09
182, 0.00, 231,      20,      1, 0.48, 0.17, 0.13, 0.13, 0.09
183, 0.00, 249,      40,      0, 0.62, 0.14, 0.09, 0.09, 0.06
184, 0.00, 247,      40,      3, 0.59, 0.15, 0.10, 0.09, 0.06
185, 0.00, 271,     100,      0, 0.85, 0.07, 0.03, 0.03, 0.01
186, 0.00, 268,     100,      0, 0.84, 0.08, 0.04, 0.03, 0.02
187, 0.00, 266,     100,      0, 0.82, 0.08, 0.04, 0.03, 0.02
188, 0.00, 263,     100,      3, 0.80, 0.09, 0.05, 0.04, 0.02
189, 0.00, 294,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
190, 0.02, 294,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
191, 0.03, 291,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
192, 0.03, 290,     160,      0, 0.98, 0.01, 0.00, 0.00, 0.00
193, 0.03, 287,     160,      0, 0.98, 0.02, 0.00, 0.00, 0.00
194, 0.03, 284,     160,      0, 0.97, 0.02, 0.01, 0.00, 0.00
195, 0.03, 282,     160,      0, 0.96, 0.03, 0.01, 0.00, 0.00
196, 0.03, 281,     160,      0, 0.95, 0.03, 0.01, 0.01, 0.00
197, 0.03, 280,     160,      0, 0.95, 0.03, 0.01, 0.01, 0.00
198, 0.04, 300,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
199, 0.04, 299,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
200, 0.04, 297,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
201, 0.05, 294,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
202, 0.05, 292,     160,      0, 0.98, 0.01, 0.00, 0.00, 0.00
203, 0.06, 289,     160,      0, 0.97, 0.02, 0.01, 0.00, 0.00
204, 0.06, 287,     160,      0, 0.96, 0.02, 0.01, 0.00, 0.00
205, 0.07, 285,     160,      0, 0.96, 0.03, 0.01, 0.01, 0.00
206, 0.08, 284,     160,      0, 0.95, 0.03, 0.01, 0.01, 0.00
207, 0.09, 283,     160,      0, 0.94, 0.04, 0.01, 0.01, 0.00
208, 0.10, 282,     160,      0, 0.93, 0.04, 0.01, 0.01, 0.00
209, 0.10, 281,     160,      1, 0.92, 0.04, 0.02, 0.01, 0.01
210, 0.10, 299,     180,      0, 0.99, 0.01, 0.00, 0.00, 0.00
211, 0.11, 296,     180,      0, 0.99, 0.01, 0.00, 0.00, 0.00
212, 0.12, 296,     180,      0, 0.99, 0.01, 0.00, 0.00, 0.00
213, 0.13, 294,     180,      0, 0.98, 0.01, 0.00, 0.00, 0.00
214, 0.14, 291,     180,      0, 0.98, 0.01, 0.00, 0.00, 0.00
215, 0.15, 288,     180,      0, 0.97, 0.02, 0.01, 0.00, 0.00
216, 0.16, 287,     180,      0, 0.96, 0.02, 0.01, 0.00, 0.00
217, 0.16, 285,     180,      0, 0.95, 0.03, 0.01, 0.01, 0.00
218, 0.17, 284,     180,      0, 0.94, 0.03, 0.01, 0.01, 0.00
219, 0.17, 283,     180,      1, 0.93, 0.04, 0.01, 0.01, 0.00
220, 0.18, 300,     200,      0, 0.99, 0.01, 0.00, 0.00, 0.00
221, 0.22, 298,     200,      0, 0.99, 0.01, 0.00, 0.00, 0.00
222, 0.25, 307,     200,      0, 1.00, 0.00, 0.00, 0.00, 0.00
223, 0.29, 321,     200,      0, 1.00, 0.00, 0.00, 0.00, 0.00
224, 0.33, 322,     200,      0, 1.00, 0.00, 0.00, 0.00, 0.00
225, 0.37, 320,     200,      0, 1.00, 0.00, 0.00, 0.00, 0.00
226, 0.41, 321,     200,      0, 1.00, 0.00, 0.00, 0.00, 0.00
227, 0.46, 318,     200,      0, 1.00, 0.00, 0.00, 0.00, 0.00
