5750.906
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
144, 0.00, 210,       0,      1, 0.45, 0.18, 0.14, 0.13, 0.10
145, 0.00, 258,      20,      0, 0.81, 0.09, 0.04, 0.04, 0.02
146, 0.00, 256,      20,      3, 0.80, 0.09, 0.05, 0.04, 0.02
147, 0.00, 281,      80,      0, 0.97, 0.02, 0.01, 0.00, 0.00
148, 0.00, 279,      80,      0, 0.96, 0.02, 0.01, 0.00, 0.00
149, 0.00, 277,      80,      0, 0.95, 0.03, 0.01, 0.01, 0.00
150, 0.00, 274,      80,      0, 0.94, 0.03, 0.01, 0.01, 0.00
151, 0.00, 271,      80,      0, 0.93, 0.04, 0.02, 0.01, 0.00
152, 0.00, 269,      80,      0, 0.92, 0.05, 0.02, 0.01, 0.01
153, 0.02, 267,      80,      0, 0.91, 0.05, 0.02, 0.01, 0.01
154, 0.03, 266,      80,      0, 0.90, 0.06, 0.02, 0.02, 0.01
155, 0.03, 265,      80,      0, 0.89, 0.06, 0.02, 0.02, 0.01
156, 0.03, 264,      80,      0, 0.88, 0.06, 0.03, 0.02, 0.01
157, 0.03, 273,      80,      0, 0.92, 0.04, 0.02, 0.01, 0.01
158, 0.03, 270,      80,      0, 0.91, 0.05, 0.02, 0.01, 0.01
159, 0.04, 269,      80,      0, 0.89, 0.06, 0.02, 0.02, 0.01
160, 0.04, 267,      80,      0, 0.88, 0.06, 0.03, 0.02, 0.01
161, 0.05, 266,      80,      0, 0.87, 0.06, 0.03, 0.02, 0.01
162, 0.05, 265,      80,      2, 0.87, 0.07, 0.03, 0.02, 0.01
163, 0.06, 301,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
164, 0.07, 298,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
165, 0.08, 295,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
166, 0.09, 292,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
167, 0.10, 290,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
