5870.954
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
135, 0.00, 219,       0,      3, 0.51, 0.17, 0.12, 0.12, 0.09
136, 0.00, 266,      60,      0, 0.92, 0.04, 0.02, 0.01, 0.01
137, 0.00, 278,      60,      0, 0.96, 0.02, 0.01, 0.00, 0.00
138, 0.00, 277,      60,      0, 0.96, 0.03, 0.01, 0.00, 0.00
139, 0.00, 276,      60,      0, 0.95, 0.03, 0.01, 0.01, 0.00
140, 0.00, 273,      60,      0, 0.94, 0.03, 0.01, 0.01, 0.00
141, 0.02, 271,      60,      0, 0.93, 0.04, 0.02, 0.01, 0.00
142, 0.03, 267,      60,      0, 0.91, 0.05, 0.02, 0.01, 0.01
143, 0.03, 265,      60,      0, 0.90, 0.05, 0.02, 0.02, 0.01
144, 0.03, 264,      60,      0, 0.89, 0.06, 0.02, 0.02, 0.01
145, 0.03, 263,      60,      0, 0.88, 0.06, 0.03, 0.02, 0.01
146, 0.03, 262,      60,      0, 0.87, 0.06, 0.03, 0.02, 0.01
147, 0.03, 261,      60,      0, 0.87, 0.07, 0.03, 0.02, 0.01
148, 0.04, 260,      60,      4, 0.86, 0.07, 0.03, 0.02, 0.01
149, 0.04, 299,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
150, 0.05, 298,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
151, 0.06, 295,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
152, 0.07, 293,     140,      0, 0.99, 0.00, 0.00, 0.00, 0.00
153, 0.07, 290,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
154, 0.08, 287,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
155, 0.09, 286,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
156, 0.10, 284,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
157, 0.12, 283,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
158, 0.13, 282,     140,      0, 0.98, 0.01, 0.00, 0.00, 0.00
159, 0.15, 281,     140,      0, 0.98, 0.01, 0.00, 0.00, 0.00
160, 0.17, 280,     140,      0, 0.98, 0.01, 0.00, 0.00, 0.00
161, 0.19, 279,     140,      0, 0.98, 0.02, 0.00, 0.00, 0.00
162, 0.21, 278,     140,      0, 0.97, 0.02, 0.00, 0.00, 0.00
163, 0.23, 277,     140,      0, 0.97, 0.02, 0.01, 0.00, 0.00
164, 0.26, 276,     140,      0, 0.97, 0.02, 0.01, 0.00, 0.00
165, 0.30, 275,     140,      0, 0.96, 0.02, 0.01, 0.00, 0.00
166, 0.34, 274,     140,      0, 0.96, 0.03, 0.01, 0.00, 0.00
167, 0.38, 273,     140,      0, 0.96, 0.03, 0.01, 0.01, 0.00
168, 0.43, 272,     140,      0, 0.95, 0.03, 0.01, 0.01, 0.00
169, 0.48, 271,     140,      0, 0.94, 0.03, 0.01, 0.01, 0.00
170, 0.53, 270,     140,      0, 0.94, 0.04, 0.01, 0.01, 0.00
171, 0.58, 269,     140,      0, 0.93, 0.04, 0.02, 0.01, 0.00
172, 0.64, 268,     140,      0, 0.92, 0.04, 0.02, 0.01, 0.01
173, 0.71, 266,     140,      0, 0.91, 0.05, 0.02, 0.01, 0.01
174, 0.77, 265,     140,      0, 0.90, 0.05, 0.02, 0.02, 0.01
175, 0.81, 264,     140,      0, 0.89, 0.06, 0.02, 0.02, 0.01
176, 0.86, 264,     140,      0, 0.88, 0.06, 0.03, 0.02, 0.01
177, 0.91, 273,     140,      0, 0.93, 0.04, 0.02, 0.01, 0.00
178, 0.94, 271,     140,      0, 0.92, 0.05, 0.02, 0.01, 0.01
179, 0.96, 269,     140,      0, 0.90, 0.05, 0.02, 0.02, 0.01
180, 0.99, 267,     140,      0, 0.89, 0.06, 0.03, 0.02, 0.01
181, 1.01, 265,     140,      0, 0.87, 0.06, 0.03, 0.02, 0.01
182, 1.08, 264,     140,      0, 0.86, 0.07, 0.03, 0.02, 0.01
183, 1.13, 263,     140,      0, 0.85, 0.07, 0.03, 0.03, 0.01
184, 1.17, 261,     140,      0, 0.84, 0.08, 0.04, 0.03, 0.02
185, 1.22, 260,     140,      0, 0.83, 0.08, 0.04, 0.03, 0.02
186, 1.27, 258,     140,      0, 0.82, 0.09, 0.04, 0.03, 0.02
187, 1.33, 257,     140,      0, 0.80, 0.09, 0.05, 0.04, 0.02
188, 1.40, 255,     140,      0, 0.79, 0.09, 0.05, 0.04, 0.02
189, 1.48, 254,     140,      0, 0.78, 0.10, 0.05, 0.04, 0.03
190, 1.54, 252,     140,      0, 0.76, 0.10, 0.06, 0.05, 0.03
191, 1.61, 251,     140,      1, 0.75, 0.11, 0.06, 0.05, 0.03
