5863.762
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
187, 0.00, 339,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
188, 0.00, 364,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
189, 0.00, 386,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
190, 0.00, 384,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
191, 0.00, 381,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
192, 0.00, 377,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
193, 0.00, 375,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
194, 0.00, 387,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
195, 0.02, 384,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
196, 0.03, 381,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
197, 0.03, 377,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
198, 0.03, 373,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
199, 0.03, 370,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
200, 0.03, 367,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
201, 0.04, 364,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
202, 0.04, 362,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
203, 0.05, 359,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
204, 0.06, 357,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
205, 0.07, 361,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
206, 0.08, 357,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
207, 0.09, 355,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
208, 0.11, 353,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
209, 0.12, 351,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
210, 0.14, 349,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
211, 0.16, 348,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
212, 0.18, 346,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
213, 0.19, 345,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
214, 0.22, 344,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
215, 0.24, 342,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
216, 0.27, 341,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
217, 0.32, 340,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
218, 0.37, 339,       0,      0, 1.00, 0.00, 0.00, 0.00, 0.00
219, 0.43, 337,       0,      0, 0.99, 0.00, 0.00, 0.00, 0.00
220, 0.49, 336,       0,      0, 0.99, 0.00, 0.00, 0.00, 0.00
221, 0.52, 335,       0,      0, 0.99, 0.01, 0.00, 0.00, 0.00
222, 0.54, 334,       0,      0, 0.99, 0.01, 0.00, 0.00, 0.00
223, 0.59, 333,       0,      0, 0.99, 0.01, 0.00, 0.00, 0.00
224, 0.66, 332,       0,      0, 0.99, 0.01, 0.00, 0.00, 0.00
225, 0.77, 330,       0,      0, 0.99, 0.01, 0.00, 0.00, 0.00
226, 0.86, 329,       0,      0, 0.99, 0.01, 0.00, 0.00, 0.00
227, 0.92, 327,       0,      0, 0.98, 0.01, 0.00, 0.00, 0.00
228, 0.99, 326,       0,      0, 0.98, 0.02, 0.00, 0.00, 0.00
229, 1.06, 324,       0,      0, 0.97, 0.02, 0.01, 0.00, 0.00
230, 1.14, 322,       0,      0, 0.96, 0.02, 0.01, 0.00, 0.00
231, 1.31, 320,       0,      0, 0.95, 0.03, 0.01, 0.01, 0.00
232, 1.45, 318,       0,      0, 0.93, 0.04, 0.02, 0.01, 0.00
233, 1.56, 316,       0,      0, 0.91, 0.05, 0.02, 0.01, 0.01
234, 1.67, 313,       0,      0, 0.87, 0.06, 0.03, 0.02, 0.01
235, 1.78, 311,       0,      1, 0.84, 0.08, 0.04, 0.03, 0.02
236, 1.91, 329,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
237, 2.00, 361,      20,      0, 1.00, 0.00, 0.00, 0.00, 0.00
238, 2.08, 359,      20,      0, 1.00, 0.00, 0.00, 0.00, 0.00
239, 2.16, 356,      20,      0, 1.00, 0.00, 0.00, 0.00, 0.00
240, 2.25, 353,      20,      0, 1.00, 0.00, 0.00, 0.00, 0.00
241, 2.36, 351,      20,      0, 1.00, 0.00, 0.00, 0.00, 0.00
242, 2.45, 353,      20,      0, 1.00, 0.00, 0.00, 0.00, 0.00
243, 2.53, 349,      20,      0, 1.00, 0.00, 0.00, 0.00, 0.00
244, 2.66, 345,      20,      0, 1.00, 0.00, 0.00, 0.00, 0.00
245, 2.80, 343,      20,      0, 1.00, 0.00, 0.00, 0.00, 0.00
246, 2.89, 342,      20,      0, 1.00, 0.00, 0.00, 0.00, 0.00
247, 2.97, 339,      20,      0, 0.99, 0.00, 0.00, 0.00, 0.00
248, 3.06, 335,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
249, 3.15, 331,      20,      0, 0.98, 0.01, 0.00, 0.00, 0.00
250, 3.23, 329,      20,      0, 0.98, 0.01, 0.00, 0.00, 0.00
251, 3.31, 327,      20,      0, 0.97, 0.02, 0.01, 0.00, 0.00
252, 3.45, 332,      20,      0, 0.98, 0.01, 0.00, 0.00, 0.00
253, 3.59, 327,      20,      0, 0.97, 0.02, 0.01, 0.00, 0.00
254, 3.71, 323,      20,      0, 0.94, 0.03, 0.01, 0.01, 0.00
255, 3.79, 318,      20,      0, 0.90, 0.06, 0.02, 0.02, 0.01
256, 3.88, 313,      20,      0, 0.84, 0.08, 0.04, 0.03, 0.02
257, 3.96, 325,      20,      0, 0.95, 0.03, 0.01, 0.01, 0.00
258, 4.04, 331,      20,      0, 0.98, 0.01, 0.00, 0.00, 0.00
259, 4.08, 329,      20,      0, 0.97, 0.02, 0.01, 0.00, 0.00
260, 4.21, 338,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
261, 4.35, 335,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
262, 4.46, 328,      20,      0, 0.96, 0.02, 0.01, 0.00, 0.00
263, 4.46, 322,      20,      0, 0.91, 0.05, 0.02, 0.01, 0.01
264, 4.44, 317,      20,      0, 0.86, 0.07, 0.03, 0.02, 0.01
265, 4.43, 312,      20,      0, 0.80, 0.09, 0.05, 0.04, 0.02
266, 4.42, 306,      20,      0, 0.74, 0.11, 0.06, 0.05, 0.03
267, 4.41, 300,      20,      0, 0.68, 0.13, 0.08, 0.07, 0.05
268, 4.40, 294,      20,      2, 0.61, 0.14, 0.09, 0.09, 0.06
269, 4.39, 327,      60,      0, 0.98, 0.02, 0.00, 0.00, 0.00
270, 4.38, 321,      60,      0, 0.95, 0.03, 0.01, 0.01, 0.00
271, 4.37, 315,      60,      0, 0.89, 0.06, 0.02, 0.02, 0.01
272, 4.32, 310,      60,      0, 0.83, 0.08, 0.04, 0.03, 0.02
273, 4.27, 311,      60,      0, 0.83, 0.08, 0.04, 0.03, 0.02
274, 4.23, 303,      60,      1, 0.75, 0.11, 0.06, 0.05, 0.03
275, 4.19, 315,      80,      0, 0.91, 0.05, 0.02, 0.01, 0.01
276, 4.12, 311,      80,      1, 0.87, 0.07, 0.03, 0.02, 0.01
277, 4.06, 326,     100,      0, 0.98, 0.01, 0.00, 0.00, 0.00
278, 4.04, 318,     100,      0, 0.96, 0.03, 0.01, 0.01, 0.00
279, 4.02, 311,     100,      1, 0.89, 0.06, 0.03, 0.02, 0.01
280, 4.00, 323,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
281, 3.98, 317,     120,      0, 0.96, 0.02, 0.01, 0.00, 0.00
282, 3.94, 311,     120,      0, 0.91, 0.05, 0.02, 0.01, 0.01
283, 3.87, 306,     120,      0, 0.86, 0.07, 0.03, 0.02, 0.01
284, 3.81, 299,     120,      0, 0.79, 0.10, 0.05, 0.04, 0.03
285, 3.74, 292,     120,      0, 0.72, 0.12, 0.07, 0.06, 0.04
286, 3.68, 285,     120,      0, 0.65, 0.13, 0.08, 0.08, 0.05
287, 3.62, 278,     120,      0, 0.59, 0.15, 0.10, 0.10, 0.07
288, 3.57, 269,     120,      4, 0.53, 0.16, 0.12, 0.11, 0.08
289, 3.53, 307,     200,      0, 0.97, 0.02, 0.01, 0.00, 0.00
290, 3.50, 299,     200,      0, 0.91, 0.05, 0.02, 0.01, 0.01
291, 3.47, 293,     200,      0, 0.83, 0.08, 0.04, 0.03, 0.02
292, 3.43, 287,     200,      0, 0.78, 0.10, 0.05, 0.04, 0.03
293, 3.37, 280,     200,      1, 0.72, 0.12, 0.07, 0.06, 0.04
294, 3.29, 293,     220,      3, 0.86, 0.07, 0.03, 0.02, 0.01
295, 3.23, 307,     280,      0, 0.99, 0.01, 0.00, 0.00, 0.00
296, 3.17, 300,     280,      0, 0.98, 0.01, 0.00, 0.00, 0.00
297, 3.11, 293,     280,      1, 0.96, 0.03, 0.01, 0.01, 0.00
298, 3.03, 312,     300,      0, 1.00, 0.00, 0.00, 0.00, 0.00
299, 2.96, 311,     300,      0, 1.00, 0.00, 0.00, 0.00, 0.00
300, 2.87, 305,     300,      0, 0.99, 0.01, 0.00, 0.00, 0.00
301, 2.76, 299,     300,      0, 0.98, 0.01, 0.00, 0.00, 0.00
302, 2.64, 291,     300,      0, 0.96, 0.02, 0.01, 0.00, 0.00
303, 2.53, 284,     300,      0, 0.90, 0.05, 0.02, 0.02, 0.01
304, 2.43, 277,     300,      2, 0.83, 0.08, 0.04, 0.03, 0.02
305, 2.33, 310,     340,      0, 1.00, 0.00, 0.00, 0.00, 0.00
306, 2.23, 304,     340,      0, 0.99, 0.00, 0.00, 0.00, 0.00
307, 2.11, 300,     340,      0, 0.99, 0.01, 0.00, 0.00, 0.00
308, 1.99, 294,     340,      0, 0.99, 0.01, 0.00, 0.00, 0.00
309, 1.86, 288,     340,      0, 0.97, 0.02, 0.01, 0.00, 0.00
310, 1.71, 281,     340,      0, 0.93, 0.04, 0.02, 0.01, 0.00
311, 1.60, 275,     340,      2, 0.88, 0.06, 0.03, 0.02, 0.01
312, 1.48, 314,     380,      0, 1.00, 0.00, 0.00, 0.00, 0.00
313, 1.35, 313,     380,      0, 1.00, 0.00, 0.00, 0.00, 0.00
314, 1.23, 308,     380,      0, 1.00, 0.00, 0.00, 0.00, 0.00
315, 1.11, 302,     380,      0, 1.00, 0.00, 0.00, 0.00, 0.00
316, 0.98, 296,     380,      0, 0.99, 0.01, 0.00, 0.00, 0.00
317, 0.90, 291,     380,      0, 0.99, 0.01, 0.00, 0.00, 0.00
318, 0.81, 285,     380,      0, 0.98, 0.01, 0.00, 0.00, 0.00
319, 0.73, 281,     380,      0, 0.97, 0.02, 0.01, 0.00, 0.00
320, 0.65, 278,     380,      0, 0.95, 0.03, 0.01, 0.01, 0.00
321, 0.57, 275,     380,      0, 0.93, 0.04, 0.02, 0.01, 0.00
322, 0.50, 288,     380,      0, 0.98, 0.01, 0.00, 0.00, 0.00
323, 0.43, 283,     380,      0, 0.97, 0.02, 0.01, 0.00, 0.00
324, 0.35, 278,     380,      4, 0.94, 0.03, 0.01, 0.01, 0.00
325, 0.30, 312,     460,      0, 1.00, 0.00, 0.00, 0.00, 0.00
326, 0.25, 311,     460,      0, 1.00, 0.00, 0.00, 0.00, 0.00
327, 0.21, 308,     460,      0, 1.00, 0.00, 0.00, 0.00, 0.00
328, 0.16, 305,     460,      0, 1.00, 0.00, 0.00, 0.00, 0.00
329, 0.12, 302,     460,      0, 1.00, 0.00, 0.00, 0.00, 0.00
330, 0.08, 299,     460,      0, 1.00, 0.00, 0.00, 0.00, 0.00
331, 0.03, 298,     460,      0, 1.00, 0.00, 0.00, 0.00, 0.00
332, 0.00, 296,     460,      0, 1.00, 0.00, 0.00, 0.00, 0.00
333, 0.00, 295,     460,      0, 1.00, 0.00, 0.00, 0.00, 0.00
