6162.001
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
157, 0.00, 233,       0,      0, 0.52, 0.17, 0.12, 0.11, 0.08
158, 0.00, 254,       0,      0, 0.69, 0.12, 0.07, 0.07, 0.04
159, 0.00, 252,       0,      0, 0.66, 0.13, 0.08, 0.07, 0.05
160, 0.00, 250,       0,      0, 0.64, 0.14, 0.09, 0.08, 0.05
161, 0.00, 249,       0,      0, 0.63, 0.14, 0.09, 0.08, 0.06
162, 0.00, 248,       0,      0, 0.62, 0.14, 0.09, 0.09, 0.06
163, 0.00, 247,       0,      0, 0.61, 0.15, 0.09, 0.09, 0.06
164, 0.02, 246,       0,      0, 0.60, 0.15, 0.10, 0.09, 0.06
165, 0.03, 246,       0,      0, 0.59, 0.15, 0.10, 0.10, 0.07
166, 0.03, 245,       0,      0, 0.58, 0.15, 0.10, 0.10, 0.07
167, 0.03, 244,       0,      0, 0.57, 0.16, 0.11, 0.10, 0.07
168, 0.03, 273,       0,      0, 0.78, 0.10, 0.05, 0.04, 0.03
169, 0.03, 270,       0,      0, 0.77, 0.10, 0.06, 0.05, 0.03
170, 0.03, 268,       0,      0, 0.75, 0.11, 0.06, 0.05, 0.03
171, 0.03, 265,       0,      0, 0.72, 0.11, 0.07, 0.06, 0.04
172, 0.03, 263,       0,      1, 0.70, 0.12, 0.07, 0.07, 0.04
173, 0.03, 280,      20,      0, 0.83, 0.08, 0.04, 0.03, 0.02
174, 0.04, 277,      20,      0, 0.82, 0.09, 0.04, 0.03, 0.02
175, 0.04, 275,      20,      0, 0.80, 0.09, 0.05, 0.04, 0.02
176, 0.05, 272,      20,      3, 0.78, 0.10, 0.05, 0.04, 0.03
177, 0.06, 302,      80,      0, 0.99, 0.01, 0.00, 0.00, 0.00
178, 0.07, 300,      80,      1, 0.98, 0.01, 0.00, 0.00, 0.00
179, 0.08, 317,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
180, 0.09, 315,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
181, 0.10, 312,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
182, 0.11, 309,     100,      0, 0.99, 0.00, 0.00, 0.00, 0.00
183, 0.13, 306,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
184, 0.14, 304,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
185, 0.14, 304,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
186, 0.15, 302,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
187, 0.16, 301,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
188, 0.17, 300,     100,      0, 0.98, 0.01, 0.00, 0.00, 0.00
189, 0.18, 307,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
190, 0.20, 305,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
191, 0.23, 303,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
192, 0.26, 301,     100,      0, 0.98, 0.01, 0.00, 0.00, 0.00
193, 0.30, 300,     100,      0, 0.98, 0.01, 0.00, 0.00, 0.00
194, 0.34, 299,     100,      0, 0.98, 0.02, 0.00, 0.00, 0.00
195, 0.38, 297,     100,      0, 0.97, 0.02, 0.01, 0.00, 0.00
196, 0.43, 296,     100,      0, 0.96, 0.02, 0.01, 0.00, 0.00
197, 0.46, 295,     100,      0, 0.95, 0.03, 0.01, 0.01, 0.00
198, 0.49, 293,     100,      0, 0.94, 0.03, 0.01, 0.01, 0.00
199, 0.59, 292,     100,      0, 0.93, 0.04, 0.02, 0.01, 0.00
200, 0.67, 290,     100,      0, 0.91, 0.05, 0.02, 0.01, 0.01
201, 0.71, 289,     100,      0, 0.90, 0.06, 0.02, 0.02, 0.01
202, 0.75, 288,     100,      0, 0.88, 0.06, 0.03, 0.02, 0.01
203, 0.79, 286,     100,      0, 0.87, 0.07, 0.03, 0.02, 0.01
204, 0.86, 285,     100,      0, 0.85, 0.07, 0.03, 0.03, 0.01
205, 0.93, 283,     100,      0, 0.84, 0.08, 0.04, 0.03, 0.02
206, 0.98, 281,     100,      0, 0.83, 0.08, 0.04, 0.03, 0.02
