5671.167
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
126, 0.00, 237,       0,      0, 0.71, 0.12, 0.07, 0.06, 0.04
127, 0.00, 251,       0,      0, 0.81, 0.09, 0.04, 0.04, 0.02
128, 0.00, 248,       0,      0, 0.79, 0.10, 0.05, 0.04, 0.02
129, 0.00, 245,       0,      0, 0.76, 0.10, 0.06, 0.05, 0.03
130, 0.00, 242,       0,      0, 0.73, 0.11, 0.06, 0.06, 0.04
131, 0.00, 241,       0,      0, 0.72, 0.12, 0.07, 0.06, 0.04
132, 0.00, 240,       0,      0, 0.70, 0.12, 0.07, 0.06, 0.04
133, 0.02, 238,       0,      0, 0.68, 0.13, 0.08, 0.07, 0.05
134, 0.03, 237,       0,      0, 0.67, 0.13, 0.08, 0.07, 0.05
135, 0.03, 236,       0,      1, 0.65, 0.13, 0.08, 0.08, 0.05
136, 0.03, 253,      20,      4, 0.82, 0.09, 0.04, 0.03, 0.02
137, 0.03, 275,     100,      0, 0.98, 0.02, 0.00, 0.00, 0.00
138, 0.03, 273,     100,      0, 0.97, 0.02, 0.01, 0.00, 0.00
139, 0.03, 271,     100,      0, 0.96, 0.02, 0.01, 0.00, 0.00
140, 0.04, 269,     100,      0, 0.96, 0.03, 0.01, 0.00, 0.00
141, 0.04, 267,     100,      0, 0.95, 0.03, 0.01, 0.01, 0.00
142, 0.05, 264,     100,      0, 0.94, 0.03, 0.01, 0.01, 0.00
143, 0.05, 263,     100,      0, 0.93, 0.04, 0.01, 0.01, 0.00
144, 0.06, 261,     100,      0, 0.93, 0.04, 0.02, 0.01, 0.01
145, 0.07, 260,     100,      0, 0.92, 0.05, 0.02, 0.01, 0.01
146, 0.08, 259,     100,      0, 0.91, 0.05, 0.02, 0.01, 0.01
147, 0.09, 258,     100,      1, 0.90, 0.05, 0.02, 0.02, 0.01
148, 0.10, 276,     120,      0, 0.97, 0.02, 0.00, 0.00, 0.00
149, 0.12, 274,     120,      0, 0.97, 0.02, 0.01, 0.00, 0.00
150, 0.13, 271,     120,      0, 0.96, 0.02, 0.01, 0.00, 0.00
151, 0.15, 268,     120,      0, 0.95, 0.03, 0.01, 0.01, 0.00
152, 0.16, 267,     120,      0, 0.95, 0.03, 0.01, 0.01, 0.00
153, 0.17, 301,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
154, 0.20, 300,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
155, 0.21, 299,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
156, 0.23, 299,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
157, 0.27, 298,     120,      0, 0.99, 0.00, 0.00, 0.00, 0.00
158, 0.30, 296,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
159, 0.32, 295,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
160, 0.35, 298,     120,      0, 0.99, 0.00, 0.00, 0.00, 0.00
161, 0.38, 297,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
162, 0.42, 300,     120,      0, 0.99, 0.00, 0.00, 0.00, 0.00
163, 0.48, 298,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
164, 0.53, 296,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
165, 0.58, 296,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
166, 0.67, 293,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
167, 0.75, 291,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
168, 0.86, 289,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
169, 0.99, 286,     120,      1, 0.97, 0.02, 0.00, 0.00, 0.00
170, 1.11, 304,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
171, 1.25, 302,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
172, 1.33, 313,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
173, 1.48, 322,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
174, 1.57, 319,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
175, 1.64, 317,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
176, 1.75, 315,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
177, 1.95, 312,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
178, 2.15, 310,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
179, 2.36, 307,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
180, 2.49, 303,     140,      0, 0.99, 0.00, 0.00, 0.00, 0.00
181, 2.62, 300,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
182, 2.77, 298,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
183, 2.96, 295,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
184, 3.18, 292,     140,      0, 0.98, 0.01, 0.00, 0.00, 0.00
185, 3.26, 291,     140,      0, 0.98, 0.02, 0.00, 0.00, 0.00
186, 3.45, 309,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
187, 3.58, 307,     140,      0, 0.99, 0.00, 0.00, 0.00, 0.00
188, 3.61, 304,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
189, 3.65, 302,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
190, 3.74, 299,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
191, 3.82, 295,     140,      0, 0.98, 0.01, 0.00, 0.00, 0.00
192, 3.90, 292,     140,      0, 0.97, 0.02, 0.01, 0.00, 0.00
193, 4.01, 290,     140,      0, 0.96, 0.02, 0.01, 0.00, 0.00
194, 4.13, 307,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
195, 4.25, 303,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
196, 4.40, 300,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
197, 4.53, 296,     140,      0, 0.98, 0.01, 0.00, 0.00, 0.00
198, 4.68, 295,     140,      0, 0.98, 0.02, 0.00, 0.00, 0.00
199, 4.86, 292,     140,      0, 0.95, 0.03, 0.01, 0.01, 0.00
200, 5.06, 288,     140,      0, 0.92, 0.05, 0.02, 0.01, 0.01
201, 5.17, 285,     140,      0, 0.88, 0.06, 0.03, 0.02, 0.01
202, 5.28, 280,     140,      0, 0.83, 0.08, 0.04, 0.03, 0.02
203, 5.39, 277,     140,      0, 0.80, 0.09, 0.05, 0.04, 0.02
204, 5.43, 274,     140,      1, 0.77, 0.10, 0.05, 0.05, 0.03
205, 5.46, 291,     160,      0, 0.96, 0.03, 0.01, 0.01, 0.00
206, 5.52, 287,     160,      1, 0.92, 0.04, 0.02, 0.01, 0.01
207, 5.61, 302,     180,      0, 0.99, 0.01, 0.00, 0.00, 0.00
208, 5.69, 298,     180,      0, 0.99, 0.01, 0.00, 0.00, 0.00
209, 5.76, 294,     180,      0, 0.98, 0.01, 0.00, 0.00, 0.00
210, 5.83, 290,     180,      0, 0.97, 0.02, 0.01, 0.00, 0.00
211, 5.99, 287,     180,      0, 0.94, 0.04, 0.01, 0.01, 0.00
212, 6.13, 283,     180,      0, 0.90, 0.05, 0.02, 0.02, 0.01
213, 6.29, 279,     180,      0, 0.84, 0.08, 0.04, 0.03, 0.02
214, 6.43, 275,     180,      2, 0.79, 0.09, 0.05, 0.04, 0.02
215, 6.52, 307,     220,      0, 1.00, 0.00, 0.00, 0.00, 0.00
216, 6.56, 303,     220,      0, 1.00, 0.00, 0.00, 0.00, 0.00
217, 6.62, 299,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
218, 6.67, 295,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
219, 6.74, 290,     220,      0, 0.98, 0.01, 0.00, 0.00, 0.00
220, 6.80, 285,     220,      0, 0.95, 0.03, 0.01, 0.01, 0.00
221, 6.85, 280,     220,      0, 0.90, 0.05, 0.02, 0.01, 0.01
222, 6.90, 275,     220,      0, 0.84, 0.08, 0.04, 0.03, 0.02
223, 6.94, 271,     220,      0, 0.79, 0.09, 0.05, 0.04, 0.02
224, 6.96, 268,     220,      0, 0.76, 0.10, 0.06, 0.05, 0.03
225, 6.98, 264,     220,      0, 0.73, 0.11, 0.06, 0.06, 0.04
226, 6.99, 260,     220,      0, 0.70, 0.12, 0.07, 0.07, 0.04
227, 6.94, 256,     220,      0, 0.66, 0.13, 0.08, 0.08, 0.05
228, 6.85, 251,     220,      0, 0.62, 0.14, 0.09, 0.09, 0.06
229, 6.78, 251,     220,      0, 0.61, 0.15, 0.09, 0.09, 0.06
230, 6.72, 248,     220,      0, 0.58, 0.15, 0.10, 0.10, 0.07
231, 6.66, 244,     220,      2, 0.55, 0.16, 0.11, 0.10, 0.07
232, 6.60, 280,     260,      0, 0.95, 0.03, 0.01, 0.01, 0.00
233, 6.53, 275,     260,      0, 0.90, 0.05, 0.02, 0.02, 0.01
234, 6.46, 271,     260,      1, 0.84, 0.08, 0.04, 0.03, 0.02
235, 6.40, 287,     280,      0, 0.99, 0.01, 0.00, 0.00, 0.00
236, 6.33, 282,     280,      0, 0.98, 0.02, 0.00, 0.00, 0.00
237, 6.24, 280,     280,      0, 0.97, 0.02, 0.01, 0.00, 0.00
238, 6.12, 287,     280,      0, 0.99, 0.01, 0.00, 0.00, 0.00
239, 6.02, 286,     280,      0, 0.98, 0.01, 0.00, 0.00, 0.00
240, 5.93, 281,     280,      1, 0.97, 0.02, 0.01, 0.00, 0.00
241, 5.82, 295,     300,      0, 1.00, 0.00, 0.00, 0.00, 0.00
