6170.083
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
169, 0.00, 234,       0,      2, 0.50, 0.17, 0.12, 0.12, 0.09
170, 0.00, 274,      40,      0, 0.84, 0.08, 0.04, 0.03, 0.02
171, 0.00, 272,      40,      0, 0.82, 0.08, 0.04, 0.03, 0.02
172, 0.00, 270,      40,      0, 0.81, 0.09, 0.04, 0.04, 0.02
173, 0.00, 268,      40,      0, 0.79, 0.09, 0.05, 0.04, 0.02
174, 0.00, 265,      40,      0, 0.77, 0.10, 0.05, 0.05, 0.03
175, 0.00, 263,      40,      1, 0.76, 0.10, 0.06, 0.05, 0.03
176, 0.00, 282,      60,      0, 0.89, 0.06, 0.03, 0.02, 0.01
177, 0.02, 281,      60,      0, 0.87, 0.06, 0.03, 0.02, 0.01
178, 0.03, 282,      60,      0, 0.88, 0.06, 0.03, 0.02, 0.01
179, 0.03, 280,      60,      2, 0.86, 0.07, 0.03, 0.02, 0.01
180, 0.03, 307,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
181, 0.03, 304,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
182, 0.03, 302,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
183, 0.03, 299,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
184, 0.03, 297,     100,      0, 0.98, 0.01, 0.00, 0.00, 0.00
185, 0.03, 295,     100,      0, 0.97, 0.02, 0.01, 0.00, 0.00
186, 0.03, 293,     100,      0, 0.97, 0.02, 0.01, 0.00, 0.00
187, 0.04, 292,     100,      0, 0.96, 0.03, 0.01, 0.00, 0.00
188, 0.05, 291,     100,      0, 0.95, 0.03, 0.01, 0.01, 0.00
189, 0.05, 290,     100,      0, 0.95, 0.03, 0.01, 0.01, 0.00
190, 0.06, 289,     100,      1, 0.94, 0.04, 0.01, 0.01, 0.00
191, 0.07, 306,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
192, 0.07, 304,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
193, 0.08, 301,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
194, 0.09, 298,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
195, 0.10, 297,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
196, 0.11, 296,     120,      0, 0.98, 0.02, 0.00, 0.00, 0.00
197, 0.12, 293,     120,      2, 0.97, 0.02, 0.01, 0.00, 0.00
198, 0.14, 330,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
199, 0.16, 327,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
200, 0.17, 325,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
201, 0.18, 323,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
202, 0.21, 320,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
203, 0.22, 317,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
204, 0.24, 316,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
205, 0.26, 314,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
206, 0.29, 313,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
207, 0.33, 311,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
208, 0.38, 310,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
209, 0.43, 308,     160,      0, 0.99, 0.00, 0.00, 0.00, 0.00
210, 0.49, 307,     160,      0, 0.99, 0.00, 0.00, 0.00, 0.00
211, 0.55, 305,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
212, 0.62, 304,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
213, 0.68, 302,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
214, 0.76, 300,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
215, 0.84, 299,     160,      0, 0.98, 0.01, 0.00, 0.00, 0.00
216, 0.92, 297,     160,      0, 0.98, 0.01, 0.00, 0.00, 0.00
217, 1.00, 302,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
218, 1.03, 299,     160,      0, 0.98, 0.01, 0.00, 0.00, 0.00
219, 1.13, 296,     160,      0, 0.97, 0.02, 0.00, 0.00, 0.00
220, 1.29, 293,     160,      0, 0.96, 0.02, 0.01, 0.00, 0.00
221, 1.39, 291,     160,      0, 0.95, 0.03, 0.01, 0.01, 0.00
222, 1.45, 288,     160,      0, 0.92, 0.05, 0.02, 0.01, 0.01
223, 1.53, 286,     160,      0, 0.89, 0.06, 0.03, 0.02, 0.01
224, 1.59, 284,     160,      0, 0.86, 0.07, 0.03, 0.02, 0.01
225, 1.63, 282,     160,      0, 0.84, 0.08, 0.04, 0.03, 0.02
226, 1.67, 280,     160,      0, 0.82, 0.08, 0.04, 0.03, 0.02
227, 1.70, 277,     160,      0, 0.80, 0.09, 0.05, 0.04, 0.02
228, 1.74, 275,     160,      1, 0.79, 0.09, 0.05, 0.04, 0.02
229, 1.87, 292,     180,      0, 0.96, 0.03, 0.01, 0.00, 0.00
230, 2.00, 288,     180,      0, 0.92, 0.04, 0.02, 0.01, 0.01
231, 2.14, 284,     180,      0, 0.87, 0.07, 0.03, 0.02, 0.01
232, 2.25, 280,     180,      0, 0.83, 0.08, 0.04, 0.03, 0.02
233, 2.35, 284,     180,      0, 0.85, 0.07, 0.03, 0.03, 0.01
234, 2.40, 285,     180,      0, 0.86, 0.07, 0.03, 0.02, 0.01
235, 2.48, 281,     180,      0, 0.82, 0.08, 0.04, 0.03, 0.02
236, 2.53, 278,     180,      2, 0.80, 0.09, 0.05, 0.04, 0.02
237, 2.66, 312,     220,      0, 1.00, 0.00, 0.00, 0.00, 0.00
238, 2.80, 308,     220,      0, 1.00, 0.00, 0.00, 0.00, 0.00
239, 2.90, 304,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
240, 2.96, 300,     220,      0, 0.99, 0.01, 0.00, 0.00, 0.00
241, 3.02, 296,     220,      0, 0.98, 0.01, 0.00, 0.00, 0.00
242, 3.08, 292,     220,      0, 0.97, 0.02, 0.01, 0.00, 0.00
243, 3.15, 287,     220,      0, 0.93, 0.04, 0.01, 0.01, 0.00
244, 3.21, 282,     220,      0, 0.87, 0.07, 0.03, 0.02, 0.01
245, 3.28, 278,     220,      1, 0.82, 0.08, 0.04, 0.03, 0.02
246, 3.35, 293,     240,      0, 0.98, 0.01, 0.00, 0.00, 0.00
247, 3.49, 287,     240,      0, 0.95, 0.03, 0.01, 0.01, 0.00
248, 3.63, 281,     240,      0, 0.88, 0.06, 0.03, 0.02, 0.01
249, 3.77, 276,     240,      2, 0.83, 0.08, 0.04, 0.03, 0.02
250, 3.85, 305,     280,      0, 1.00, 0.00, 0.00, 0.00, 0.00
251, 3.92, 300,     280,      0, 0.99, 0.00, 0.00, 0.00, 0.00
252, 3.98, 294,     280,      0, 0.99, 0.01, 0.00, 0.00, 0.00
253, 4.05, 289,     280,      0, 0.98, 0.01, 0.00, 0.00, 0.00
254, 4.12, 284,     280,      0, 0.97, 0.02, 0.01, 0.00, 0.00
255, 4.26, 279,     280,      0, 0.93, 0.04, 0.02, 0.01, 0.00
256, 4.41, 273,     280,      0, 0.85, 0.07, 0.04, 0.03, 0.01
257, 4.56, 267,     280,      0, 0.79, 0.09, 0.05, 0.04, 0.02
258, 4.63, 261,     280,      0, 0.75, 0.11, 0.06, 0.05, 0.03
259, 4.70, 256,     280,      1, 0.70, 0.12, 0.07, 0.06, 0.04
260, 4.67, 270,     300,      0, 0.84, 0.08, 0.04, 0.03, 0.02
261, 4.63, 263,     300,      0, 0.78, 0.10, 0.05, 0.04, 0.03
262, 4.60, 256,     300,      4, 0.73, 0.11, 0.06, 0.06, 0.04
263, 4.56, 285,     380,      0, 1.00, 0.00, 0.00, 0.00, 0.00
264, 4.51, 277,     380,      0, 0.99, 0.01, 0.00, 0.00, 0.00
265, 4.45, 272,     380,      0, 0.98, 0.01, 0.00, 0.00, 0.00
266, 4.38, 265,     380,      0, 0.96, 0.03, 0.01, 0.01, 0.00
267, 4.32, 258,     380,      0, 0.89, 0.06, 0.02, 0.02, 0.01
268, 4.27, 265,     380,      0, 0.95, 0.03, 0.01, 0.01, 0.00
269, 4.22, 275,     380,      0, 0.99, 0.01, 0.00, 0.00, 0.00
270, 4.17, 272,     380,      0, 0.98, 0.01, 0.00, 0.00, 0.00
271, 4.12, 267,     380,      0, 0.96, 0.03, 0.01, 0.01, 0.00
272, 4.08, 259,     380,      0, 0.89, 0.06, 0.02, 0.02, 0.01
273, 4.05, 252,     380,      0, 0.83, 0.08, 0.04, 0.03, 0.02
274, 4.02, 245,     380,      0, 0.79, 0.10, 0.05, 0.04, 0.03
275, 4.00, 238,     380,      0, 0.73, 0.11, 0.06, 0.06, 0.04
276, 3.98, 231,     380,      3, 0.66, 0.13, 0.08, 0.08, 0.05
277, 3.94, 267,     440,      0, 0.99, 0.01, 0.00, 0.00, 0.00
278, 3.88, 263,     440,      0, 0.98, 0.01, 0.00, 0.00, 0.00
279, 3.84, 262,     440,      0, 0.98, 0.01, 0.00, 0.00, 0.00
280, 3.79, 265,     440,      0, 0.99, 0.01, 0.00, 0.00, 0.00
281, 3.75, 267,     440,      0, 0.99, 0.01, 0.00, 0.00, 0.00
282, 3.71, 265,     440,      0, 0.99, 0.01, 0.00, 0.00, 0.00
283, 3.67, 260,     440,      0, 0.97, 0.02, 0.01, 0.00, 0.00
284, 3.64, 253,     440,      0, 0.93, 0.04, 0.01, 0.01, 0.00
285, 3.61, 249,     440,      0, 0.90, 0.05, 0.02, 0.02, 0.01
286, 3.57, 242,     440,      0, 0.85, 0.07, 0.03, 0.03, 0.01
287, 3.54, 246,     440,      3, 0.87, 0.06, 0.03, 0.02, 0.01
288, 3.51, 270,     500,      0, 1.00, 0.00, 0.00, 0.00, 0.00
289, 3.45, 263,     500,      0, 0.99, 0.01, 0.00, 0.00, 0.00
290, 3.38, 256,     500,      0, 0.99, 0.01, 0.00, 0.00, 0.00
291, 3.30, 254,     500,      0, 0.98, 0.01, 0.00, 0.00, 0.00
292, 3.23, 247,     500,      0, 0.97, 0.02, 0.01, 0.00, 0.00
