6212.105
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
165, 0.00, 186,       0,      0, 0.39, 0.19, 0.16, 0.15, 0.11
166, 0.00, 205,       0,      0, 0.41, 0.19, 0.15, 0.14, 0.11
167, 0.00, 203,       0,      3, 0.41, 0.19, 0.15, 0.14, 0.11
168, 0.00, 240,      60,      0, 0.65, 0.14, 0.08, 0.08, 0.05
169, 0.00, 245,      60,      0, 0.69, 0.13, 0.07, 0.07, 0.04
170, 0.00, 242,      60,      0, 0.66, 0.13, 0.08, 0.08, 0.05
171, 0.00, 240,      60,      1, 0.64, 0.14, 0.09, 0.08, 0.06
172, 0.00, 258,      80,      0, 0.80, 0.09, 0.05, 0.04, 0.02
173, 0.00, 255,      80,      0, 0.78, 0.10, 0.05, 0.04, 0.03
174, 0.02, 253,      80,      1, 0.76, 0.10, 0.06, 0.05, 0.03
175, 0.03, 271,     100,      2, 0.88, 0.06, 0.03, 0.02, 0.01
176, 0.03, 292,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
177, 0.03, 306,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
178, 0.03, 311,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
179, 0.03, 308,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
180, 0.03, 307,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
181, 0.04, 304,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
182, 0.04, 302,     140,      0, 0.99, 0.00, 0.00, 0.00, 0.00
183, 0.05, 300,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
184, 0.06, 309,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
185, 0.06, 307,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
186, 0.07, 305,     140,      0, 1.00, 0.00, 0.00, 0.00, 0.00
187, 0.08, 305,     140,      0, 0.99, 0.00, 0.00, 0.00, 0.00
188, 0.09, 302,     140,      0, 0.99, 0.01, 0.00, 0.00, 0.00
189, 0.10, 300,     140,      1, 0.99, 0.01, 0.00, 0.00, 0.00
190, 0.11, 318,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
191, 0.12, 315,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
192, 0.13, 313,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
193, 0.14, 311,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
194, 0.14, 308,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
195, 0.15, 306,     160,      0, 1.00, 0.00, 0.00, 0.00, 0.00
196, 0.16, 304,     160,      0, 0.99, 0.00, 0.00, 0.00, 0.00
197, 0.16, 303,     160,      0, 0.99, 0.00, 0.00, 0.00, 0.00
198, 0.19, 302,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
199, 0.22, 300,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
200, 0.24, 299,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
201, 0.28, 298,     160,      0, 0.99, 0.01, 0.00, 0.00, 0.00
