6323.06
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
182, 0.00, 266,       0,      0, 0.69, 0.12, 0.07, 0.07, 0.04
183, 0.00, 289,       0,      2, 0.83, 0.08, 0.04, 0.03, 0.02
184, 0.00, 312,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
185, 0.00, 310,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
186, 0.00, 308,      40,      0, 0.98, 0.02, 0.00, 0.00, 0.00
187, 0.00, 305,      40,      0, 0.97, 0.02, 0.01, 0.00, 0.00
188, 0.00, 304,      40,      0, 0.96, 0.02, 0.01, 0.00, 0.00
189, 0.00, 302,      40,      0, 0.95, 0.03, 0.01, 0.01, 0.00
190, 0.02, 300,      40,      0, 0.93, 0.04, 0.01, 0.01, 0.00
191, 0.03, 298,      40,      0, 0.92, 0.05, 0.02, 0.01, 0.01
192, 0.03, 297,      40,      0, 0.91, 0.05, 0.02, 0.01, 0.01
193, 0.03, 296,      40,      0, 0.90, 0.06, 0.02, 0.02, 0.01
194, 0.03, 295,      40,      0, 0.89, 0.06, 0.03, 0.02, 0.01
195, 0.03, 294,      40,      0, 0.88, 0.06, 0.03, 0.02, 0.01
196, 0.03, 293,      40,      0, 0.87, 0.07, 0.03, 0.02, 0.01
197, 0.04, 293,      40,      0, 0.87, 0.07, 0.03, 0.02, 0.01
198, 0.04, 292,      40,      0, 0.86, 0.07, 0.03, 0.03, 0.01
199, 0.04, 295,      40,      0, 0.87, 0.07, 0.03, 0.02, 0.01
200, 0.05, 293,      40,      0, 0.85, 0.07, 0.03, 0.03, 0.01
201, 0.06, 291,      40,      0, 0.84, 0.08, 0.04, 0.03, 0.02
202, 0.07, 291,      40,      0, 0.83, 0.08, 0.04, 0.03, 0.02
203, 0.08, 290,      40,      3, 0.83, 0.08, 0.04, 0.03, 0.02
204, 0.09, 329,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
205, 0.10, 327,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
206, 0.10, 340,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
