6155.528
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
156, 0.00, 290,       0,      0, 0.91, 0.05, 0.02, 0.01, 0.01
157, 0.00, 307,       0,      0, 0.98, 0.01, 0.00, 0.00, 0.00
158, 0.00, 304,       0,      0, 0.97, 0.02, 0.01, 0.00, 0.00
159, 0.00, 302,       0,      0, 0.96, 0.02, 0.01, 0.00, 0.00
160, 0.00, 300,       0,      0, 0.95, 0.03, 0.01, 0.01, 0.00
161, 0.00, 299,       0,      0, 0.95, 0.03, 0.01, 0.01, 0.00
162, 0.00, 297,       0,      0, 0.94, 0.04, 0.01, 0.01, 0.00
163, 0.00, 296,       0,      0, 0.93, 0.04, 0.02, 0.01, 0.00
164, 0.00, 295,       0,      0, 0.92, 0.04, 0.02, 0.01, 0.01
165, 0.02, 294,       0,      0, 0.91, 0.05, 0.02, 0.01, 0.01
166, 0.03, 294,       0,      0, 0.91, 0.05, 0.02, 0.01, 0.01
167, 0.03, 293,       0,      0, 0.90, 0.05, 0.02, 0.02, 0.01
168, 0.03, 298,       0,      0, 0.93, 0.04, 0.02, 0.01, 0.00
169, 0.03, 323,       0,      0, 0.99, 0.00, 0.00, 0.00, 0.00
170, 0.03, 322,       0,      0, 0.99, 0.01, 0.00, 0.00, 0.00
171, 0.03, 319,       0,      0, 0.99, 0.01, 0.00, 0.00, 0.00
172, 0.04, 316,       0,      0, 0.99, 0.01, 0.00, 0.00, 0.00
173, 0.04, 313,       0,      0, 0.98, 0.01, 0.00, 0.00, 0.00
174, 0.05, 311,       0,      0, 0.98, 0.01, 0.00, 0.00, 0.00
175, 0.05, 310,       0,      0, 0.97, 0.02, 0.01, 0.00, 0.00
176, 0.06, 308,       0,      0, 0.97, 0.02, 0.01, 0.00, 0.00
177, 0.07, 307,       0,      0, 0.96, 0.02, 0.01, 0.00, 0.00
178, 0.08, 306,       0,      0, 0.95, 0.03, 0.01, 0.01, 0.00
179, 0.09, 305,       0,      0, 0.95, 0.03, 0.01, 0.01, 0.00
180, 0.11, 304,       0,      0, 0.94, 0.04, 0.01, 0.01, 0.00
181, 0.12, 303,       0,      1, 0.93, 0.04, 0.02, 0.01, 0.00
182, 0.14, 320,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
183, 0.16, 317,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
184, 0.18, 314,      20,      0, 0.99, 0.01, 0.00, 0.00, 0.00
185, 0.20, 312,      20,      0, 0.98, 0.01, 0.00, 0.00, 0.00
186, 0.22, 309,      20,      0, 0.97, 0.02, 0.01, 0.00, 0.00
187, 0.26, 307,      20,      0, 0.96, 0.02, 0.01, 0.00, 0.00
188, 0.29, 305,      20,      0, 0.95, 0.03, 0.01, 0.01, 0.00
189, 0.32, 304,      20,      4, 0.94, 0.04, 0.01, 0.01, 0.00
190, 0.36, 343,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
191, 0.40, 340,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
192, 0.43, 338,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
193, 0.46, 336,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
194, 0.50, 333,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
195, 0.57, 330,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
196, 0.63, 328,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
197, 0.71, 325,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
198, 0.78, 329,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
199, 0.81, 327,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
200, 0.84, 324,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
201, 0.87, 322,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
202, 0.94, 320,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
203, 1.01, 318,     100,      0, 0.99, 0.00, 0.00, 0.00, 0.00
204, 1.05, 320,     100,      0, 1.00, 0.00, 0.00, 0.00, 0.00
205, 1.15, 318,     100,      0, 0.99, 0.00, 0.00, 0.00, 0.00
206, 1.19, 316,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
207, 1.26, 314,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
208, 1.31, 312,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
209, 1.35, 310,     100,      0, 0.99, 0.01, 0.00, 0.00, 0.00
210, 1.38, 308,     100,      0, 0.98, 0.01, 0.00, 0.00, 0.00
211, 1.42, 306,     100,      0, 0.98, 0.01, 0.00, 0.00, 0.00
212, 1.46, 303,     100,      0, 0.97, 0.02, 0.01, 0.00, 0.00
213, 1.58, 301,     100,      0, 0.96, 0.03, 0.01, 0.00, 0.00
214, 1.69, 299,     100,      0, 0.94, 0.04, 0.01, 0.01, 0.00
215, 1.85, 296,     100,      1, 0.90, 0.05, 0.02, 0.01, 0.01
216, 1.99, 313,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
217, 2.12, 309,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
218, 2.24, 306,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
219, 2.32, 303,     120,      0, 0.97, 0.02, 0.01, 0.00, 0.00
