5716.295
8

Day,  LAI, ESW, cuIrrig, Action, p(0), p(1), p(2), p(3), p(4)
172, 0.00, 282,       0,      2, 0.83, 0.08, 0.04, 0.03, 0.02
173, 0.00, 317,      40,      0, 0.99, 0.00, 0.00, 0.00, 0.00
174, 0.00, 314,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
175, 0.00, 311,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
176, 0.00, 309,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
177, 0.00, 307,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
178, 0.00, 306,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
179, 0.00, 319,      40,      0, 0.99, 0.00, 0.00, 0.00, 0.00
180, 0.00, 316,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
181, 0.00, 315,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
182, 0.02, 312,      40,      0, 0.99, 0.01, 0.00, 0.00, 0.00
183, 0.03, 310,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
184, 0.03, 307,      40,      0, 0.98, 0.01, 0.00, 0.00, 0.00
185, 0.03, 306,      40,      0, 0.97, 0.02, 0.01, 0.00, 0.00
186, 0.03, 305,      40,      0, 0.97, 0.02, 0.01, 0.00, 0.00
187, 0.03, 304,      40,      0, 0.96, 0.02, 0.01, 0.00, 0.00
188, 0.04, 303,      40,      0, 0.96, 0.03, 0.01, 0.01, 0.00
189, 0.04, 302,      40,      1, 0.95, 0.03, 0.01, 0.01, 0.00
190, 0.05, 319,      60,      0, 0.99, 0.00, 0.00, 0.00, 0.00
191, 0.05, 317,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
192, 0.06, 313,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
193, 0.07, 311,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
194, 0.07, 309,      60,      0, 0.98, 0.01, 0.00, 0.00, 0.00
195, 0.08, 306,      60,      0, 0.98, 0.02, 0.00, 0.00, 0.00
196, 0.09, 305,      60,      0, 0.97, 0.02, 0.01, 0.00, 0.00
197, 0.11, 304,      60,      0, 0.97, 0.02, 0.01, 0.00, 0.00
198, 0.12, 303,      60,      0, 0.96, 0.02, 0.01, 0.00, 0.00
199, 0.13, 318,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
200, 0.15, 316,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
201, 0.17, 313,      60,      0, 0.99, 0.01, 0.00, 0.00, 0.00
202, 0.19, 310,      60,      0, 0.98, 0.01, 0.00, 0.00, 0.00
203, 0.22, 308,      60,      0, 0.97, 0.02, 0.00, 0.00, 0.00
204, 0.25, 306,      60,      0, 0.97, 0.02, 0.01, 0.00, 0.00
205, 0.30, 304,      60,      0, 0.96, 0.03, 0.01, 0.01, 0.00
206, 0.34, 303,      60,      0, 0.94, 0.03, 0.01, 0.01, 0.00
207, 0.37, 302,      60,      0, 0.93, 0.04, 0.02, 0.01, 0.00
208, 0.38, 308,      60,      0, 0.97, 0.02, 0.01, 0.00, 0.00
209, 0.42, 306,      60,      0, 0.96, 0.03, 0.01, 0.01, 0.00
210, 0.43, 303,      60,      0, 0.94, 0.04, 0.01, 0.01, 0.00
211, 0.47, 302,      60,      3, 0.92, 0.05, 0.02, 0.01, 0.01
212, 0.49, 340,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
213, 0.52, 337,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
214, 0.57, 335,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
215, 0.63, 333,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
216, 0.70, 330,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
217, 0.74, 328,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
218, 0.80, 326,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
219, 0.86, 323,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
220, 0.91, 320,     120,      0, 1.00, 0.00, 0.00, 0.00, 0.00
221, 0.97, 318,     120,      0, 0.99, 0.00, 0.00, 0.00, 0.00
222, 1.04, 315,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
223, 1.12, 314,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
224, 1.27, 312,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
225, 1.40, 310,     120,      0, 0.99, 0.01, 0.00, 0.00, 0.00
226, 1.51, 308,     120,      0, 0.98, 0.01, 0.00, 0.00, 0.00
227, 1.61, 305,     120,      0, 0.97, 0.02, 0.01, 0.00, 0.00
228, 1.70, 303,     120,      0, 0.96, 0.02, 0.01, 0.00, 0.00
229, 1.80, 300,     120,      0, 0.94, 0.03, 0.01, 0.01, 0.00
230, 1.98, 297,     120,      0, 0.91, 0.05, 0.02, 0.01, 0.01
231, 2.16, 294,     120,      0, 0.86, 0.07, 0.03, 0.02, 0.01
232, 2.33, 291,     120,      0, 0.83, 0.08, 0.04, 0.03, 0.02
233, 2.43, 287,     120,      0, 0.80, 0.09, 0.05, 0.04, 0.02
234, 2.54, 283,     120,      1, 0.77, 0.10, 0.05, 0.05, 0.03
235, 2.64, 299,     140,      0, 0.94, 0.03, 0.01, 0.01, 0.00
236, 2.75, 294,     140,      0, 0.89, 0.06, 0.02, 0.02, 0.01
237, 2.94, 290,     140,      0, 0.83, 0.08, 0.04, 0.03, 0.02
238, 3.04, 284,     140,      0, 0.78, 0.10, 0.05, 0.04, 0.03
239, 3.13, 279,     140,      0, 0.75, 0.11, 0.06, 0.05, 0.03
240, 3.22, 274,     140,      1, 0.71, 0.12, 0.07, 0.06, 0.04
241, 3.28, 289,     160,      0, 0.85, 0.07, 0.03, 0.03, 0.01
242, 3.35, 285,     160,      0, 0.80, 0.09, 0.05, 0.04, 0.02
243, 3.41, 280,     160,      0, 0.77, 0.10, 0.05, 0.05, 0.03
244, 3.48, 276,     160,      2, 0.74, 0.11, 0.06, 0.06, 0.03
245, 3.63, 308,     200,      0, 0.99, 0.01, 0.00, 0.00, 0.00
246, 3.79, 304,     200,      0, 0.99, 0.01, 0.00, 0.00, 0.00
247, 3.90, 302,     200,      0, 0.98, 0.01, 0.00, 0.00, 0.00
248, 3.97, 297,     200,      0, 0.97, 0.02, 0.01, 0.00, 0.00
249, 4.04, 292,     200,      0, 0.93, 0.04, 0.02, 0.01, 0.00
250, 4.12, 286,     200,      0, 0.86, 0.07, 0.03, 0.03, 0.01
251, 4.18, 281,     200,      0, 0.80, 0.09, 0.05, 0.04, 0.02
252, 4.24, 276,     200,      0, 0.76, 0.10, 0.06, 0.05, 0.03
253, 4.30, 269,     200,      0, 0.71, 0.12, 0.07, 0.06, 0.04
254, 4.45, 264,     200,      0, 0.66, 0.13, 0.08, 0.08, 0.05
255, 4.60, 257,     200,      0, 0.60, 0.15, 0.10, 0.09, 0.06
256, 4.73, 250,     200,      1, 0.54, 0.16, 0.11, 0.11, 0.08
257, 4.80, 263,     220,      0, 0.68, 0.13, 0.08, 0.07, 0.05
258, 4.83, 258,     220,      2, 0.62, 0.14, 0.09, 0.09, 0.06
259, 4.80, 286,     260,      0, 0.94, 0.03, 0.01, 0.01, 0.00
260, 4.77, 279,     260,      0, 0.86, 0.07, 0.03, 0.02, 0.01
261, 4.74, 272,     260,      0, 0.79, 0.10, 0.05, 0.04, 0.02
262, 4.71, 265,     260,      2, 0.74, 0.11, 0.06, 0.06, 0.03
263, 4.69, 291,     300,      0, 0.99, 0.01, 0.00, 0.00, 0.00
264, 4.65, 284,     300,      0, 0.97, 0.02, 0.01, 0.00, 0.00
265, 4.60, 278,     300,      0, 0.92, 0.04, 0.02, 0.01, 0.01
266, 4.54, 271,     300,      0, 0.84, 0.08, 0.04, 0.03, 0.02
267, 4.48, 264,     300,      0, 0.78, 0.10, 0.05, 0.04, 0.03
268, 4.39, 257,     300,      1, 0.73, 0.11, 0.06, 0.06, 0.04
269, 4.33, 272,     320,      0, 0.89, 0.06, 0.02, 0.02, 0.01
